id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,League,Season
8260,Erling Haaland,35,2803,36,32.761399537324905,8,5.8491098545491695,123,29,5,0,F S,Manchester City,29,27.433209866285324,31.963398084044456,3.285816218703985,EPL,2022
647,Harry Kane,38,3414,30,23.06444012373686,3,7.547407771460712,133,57,6,0,F,Tottenham,25,18.497427217662334,25.079117983579636,5.095352162607014,EPL,2022
998,Ivan Toney,33,2960,20,21.69119757413864,4,4.909892840310931,94,26,9,0,F,Brentford,14,16.363018790259957,18.1100468672812,4.024585669860244,EPL,2022
1250,Mohamed Salah,38,3307,19,23.340063713490963,12,8.720245610922575,125,65,2,0,F M S,Liverpool,17,20.295387655496597,32.54413793236017,8.866782674565911,EPL,2022
468,Callum Wilson,31,1911,18,18.856768030673265,5,3.567963434383273,73,24,4,0,F S,Newcastle United,15,16.57326026633382,15.517562381923199,1.810890594497323,EPL,2022
556,Marcus Rashford,35,2907,17,18.761760517954826,5,3.7354129292070866,108,31,2,0,F M S,Manchester United,17,18.761760517954826,30.331113813444972,9.589746218174696,EPL,2022
2517,Martin Odegaard,37,3203,15,9.137760860845447,7,9.209956639446318,93,77,4,0,M,Arsenal,15,9.137760860845447,27.893760193139315,15.047104069963098,EPL,2022
7752,Gabriel Martinelli,36,2851,15,10.538134384900331,5,9.349485490471125,79,59,3,0,F M S,Arsenal,15,10.538134384900331,25.15087455138564,9.320917252451181,EPL,2022
8865,Ollie Watkins,37,3150,15,17.486295863986015,6,3.6740340031683445,85,30,4,0,F M S,Aston Villa,14,15.963956996798515,22.162564158439636,5.435315723530948,EPL,2022
773,Aleksandar Mitrovic,24,2022,14,16.17901684064418,1,2.3344982340931892,93,15,7,0,F S,Fulham,10,10.089664130471647,11.802805667743087,2.5752602564170957,EPL,2022
7322,Bukayo Saka,38,3216,14,11.300049655139446,11,7.0429807445034385,89,75,6,0,F M S,Arsenal,12,9.016541637480259,23.58317681774497,11.6032799705863,EPL,2022
2381,Rodrigo,31,1955,13,8.572983920574188,1,2.298705962486565,67,16,6,0,F M S,Leeds,12,7.811814919114113,10.812733860686421,3.450525519438088,EPL,2022
6681,Harvey Barnes,34,2738,13,9.120478011667728,1,3.107304636389017,72,19,3,0,F M S,Leicester,13,9.120478011667728,14.723602913320065,3.649019580334425,EPL,2022
482,Roberto Firmino,25,1203,11,8.122956335544586,4,3.0548400916159153,39,21,0,0,F M S,Liverpool,11,8.122956335544586,13.91264321282506,6.6901707127690315,EPL,2022
5543,Gabriel Jesus,26,2107,11,16.171134389936924,6,4.243733491748571,77,31,6,0,F S,Arsenal,10,15.409974373877048,22.476388424634933,6.94562154635787,EPL,2022
6055,Phil Foden,32,1837,11,6.185852009803057,6,5.697479462251067,46,44,1,0,F M S,Manchester City,11,6.185852009803057,17.42637488618493,8.101508693769574,EPL,2022
7420,Miguel Almirón,34,2550,11,8.727059464901686,2,2.9551383573561907,69,26,2,0,F S,Newcastle United,11,8.727059464901686,14.478478658944368,5.557318415492773,EPL,2022
453,Son Heung-Min,36,2920,10,9.597895424813032,6,6.334341483190656,81,62,2,0,F M S,Tottenham,10,9.597895424813032,17.62133340537548,5.954911859706044,EPL,2022
5232,Alexander Isak,22,1530,10,8.784851711243391,1,1.7707323329523206,51,15,3,0,F S,Newcastle United,8,7.262516763061285,11.15905637666583,2.8647358743473887,EPL,2022
6818,James Maddison,30,2485,10,8.489387180656195,9,7.773198906332254,85,69,10,0,F M S,Leicester,9,6.967049431055784,15.354668013751507,6.399377454072237,EPL,2022
7814,Taiwo Awoniyi,27,1426,10,8.0510318800807,1,1.02802275121212,35,10,2,0,F S,Nottingham Forest,10,8.0510318800807,7.681166335940361,0.7168999258428812,EPL,2022
8379,Alexis Mac Allister,35,2882,10,11.532242968678474,2,3.9281202014535666,86,47,8,0,M S,Brighton,4,6.965230006724596,19.910672947764397,12.656914940103889,EPL,2022
8706,Eberechi Eze,38,2657,10,6.831764040514827,4,4.619440779089928,70,57,3,0,F M S,Crystal Palace,9,6.070595199242234,11.0957055054605,4.369746007025242,EPL,2022
239,Pascal Groß,37,3261,9,5.954401790164411,8,11.246030485257506,40,80,6,0,D F M,Brighton,9,5.954401790164411,25.252408916130662,15.00836755335331,EPL,2022
843,James Ward-Prowse,38,3378,9,5.408911099657416,4,6.058508426882327,44,72,6,0,M,Southampton,7,2.3642341531813145,10.5485019069165,8.641763718798757,EPL,2022
6552,Bryan Mbeumo,38,2991,9,10.100785619579256,8,7.65799580514431,71,52,5,0,F S,Brentford,8,9.339616828598082,17.531262825243175,5.165040111169219,EPL,2022
10720,Darwin Núñez,29,1702,9,14.374805428087711,3,5.6468874625861645,84,28,1,1,F S,Liverpool,9,14.374805428087711,20.277393620461226,3.4813443943858147,EPL,2022
10846,Julián Álvarez,31,1416,9,7.753276175819337,0,2.0468210969120264,47,18,0,0,F M S,Manchester City,8,6.992107159458101,13.768698140978813,5.820535558275878,EPL,2022
314,Ilkay Gündogan,31,2369,8,7.842695340514183,4,3.444544769823551,54,37,0,0,M S,Manchester City,8,7.081526502966881,23.573771215975285,15.498776016756892,EPL,2022
986,Danny Ings,35,1562,8,8.25754163786769,2,1.4635955430567265,42,15,4,0,F S,"Aston Villa,West Ham",6,6.735200669616461,8.444588728249073,0.8141068425029516,EPL,2022
1228,Bruno Fernandes,37,3326,8,9.385456696152687,8,17.266709440387785,92,118,6,0,M,Manchester United,6,7.863118812441826,35.418096881359816,17.724953144788742,EPL,2022
7698,Leandro Trossard,36,2263,8,7.068454213440418,12,6.358577378094196,55,47,1,0,D F M S,"Arsenal,Brighton",8,7.068454213440418,16.329788200557232,6.749516544863582,EPL,2022
10760,Brennan Johnson,38,2952,8,8.266518421471119,3,3.7432961594313383,55,28,6,0,F M S,Nottingham Forest,7,5.983012191951275,12.170722473412752,2.8007613457739353,EPL,2022
204,Granit Xhaka,37,3039,7,5.785433189943433,7,4.802904064767063,40,46,4,0,M S,Arsenal,7,5.785433189943433,21.03214856982231,14.246417433023453,EPL,2022
447,Kevin De Bruyne,32,2448,7,4.7582743894308805,16,16.31964398175478,65,97,1,0,M S,Manchester City,7,4.7582743894308805,29.12851269170642,16.633560817688704,EPL,2022
522,Wilfried Zaha,27,2308,7,7.797594489529729,2,2.760253319516778,66,26,5,0,F M,Crystal Palace,7,6.275257470086217,11.746893677860498,4.086586587131023,EPL,2022
5220,Kai Havertz,35,2613,7,12.77656376361847,1,3.5748752877116203,71,38,5,0,F M S,Chelsea,6,12.015389770269394,17.850972719490528,5.238859623670578,EPL,2022
