match_id,league,season,match_datetime_utc,match_date,match_time,is_result,home_team_id,home_team_name,home_team_short,away_team_id,away_team_name,away_team_short,home_goals,away_goals,total_goals,goal_difference,home_xg,away_xg,xg_difference,forecast_home_win,forecast_draw,forecast_away_win,match_outcome,match_outcome_code,home_win_flag,draw_flag,away_win_flag,match_datetime,home_points_last_3,home_points_last_5,home_goal_diff_last_5,home_goal_diff_last_10,home_xg_diff_last_5,home_goals_for_last_5,home_avg_rest_days,home_rest_days_prev,away_points_last_3,away_points_last_5,away_goal_diff_last_5,away_goal_diff_last_10,away_xg_diff_last_5,away_goals_for_last_5,away_avg_rest_days,away_rest_days_prev,form_diff_last5,rest_diff
18202,EPL,2022,2022-08-05 19:00:00,2022-08-05,19:00:00,True,78,Crystal Palace,CRY,83,Arsenal,ARS,0,2,2,-2,1.20637,1.43601,-0.22964,0.2864,0.2912,0.4224,Away Win,A,0,0,1,2022-08-05 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18203,EPL,2022,2022-08-06 11:30:00,2022-08-06,11:30:00,True,228,Fulham,FLH,87,Liverpool,LIV,2,2,4,0,1.26822,2.34111,-1.07289,0.1225,0.2133,0.6642,Draw,D,0,1,0,2022-08-06 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18204,EPL,2022,2022-08-06 14:00:00,2022-08-06,14:00:00,True,73,Bournemouth,BOU,71,Aston Villa,AVL,2,0,2,2,0.588341,0.488895,0.099446,0.3213,0.4397,0.239,Home Win,H,1,0,0,2022-08-06 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18205,EPL,2022,2022-08-06 14:00:00,2022-08-06,14:00:00,True,245,Leeds,LED,229,Wolverhampton Wanderers,WOL,2,1,3,1,0.88917,1.10119,-0.21202,0.2798,0.3166,0.4036,Home Win,H,1,0,0,2022-08-06 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18206,EPL,2022,2022-08-06 14:00:00,2022-08-06,14:00:00,True,86,Newcastle United,NEW,249,Nottingham Forest,NOT,2,0,2,2,1.8591,0.235825,1.623275,0.8023,0.1695,0.0282,Home Win,H,1,0,0,2022-08-06 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18207,EPL,2022,2022-08-06 14:00:00,2022-08-06,14:00:00,True,82,Tottenham,TOT,74,Southampton,SOU,4,1,5,3,1.6172,0.386546,1.230654,0.7002,0.2209,0.0789,Home Win,H,1,0,0,2022-08-06 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18208,EPL,2022,2022-08-06 16:30:00,2022-08-06,16:30:00,True,72,Everton,EVE,80,Chelsea,CHE,0,1,1,-1,0.541983,1.92315,-1.381167,0.06,0.1717,0.7683,Away Win,A,0,0,1,2022-08-06 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18210,EPL,2022,2022-08-07 13:00:00,2022-08-07,13:00:00,True,75,Leicester,LEI,244,Brentford,BRE,2,2,4,0,0.455695,0.931067,-0.475372,0.1615,0.3491,0.4894,Draw,D,0,1,0,2022-08-07 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18209,EPL,2022,2022-08-07 13:00:00,2022-08-07,13:00:00,True,89,Manchester United,MUN,220,Brighton,BRI,1,2,3,-1,1.42103,1.7289,-0.30787,0.281,0.269,0.45,Away Win,A,0,0,1,2022-08-07 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18211,EPL,2022,2022-08-07 15:30:00,2022-08-07,15:30:00,True,81,West Ham,WHU,88,Manchester City,MCI,0,2,2,-2,0.246188,2.58739,-2.341202,0.0083,0.0551,0.9366,Away Win,A,0,0,1,2022-08-07 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
