id,isResult,side,h,a,goals,xG,datetime,forecast,result
19509,True,a,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '2', 'a': '4'}","{'h': '2.39463', 'a': '0.568665'}",2023-02-05 16:30:00,"{'w': 0.7802899348204987, 'd': 0.14987235095476234, 'l': 0.0698376742530567}",w
19513,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'h': '3', 'a': '0'}","{'h': '4.37602', 'a': '0.242356'}",2023-02-11 14:30:00,"{'w': 0.9721416291238801, 'd': 0.023459907060753744, 'l': 0.004344179479395295}",w
19525,True,a,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '3', 'a': '2'}","{'h': '2.26574', 'a': '1.22226'}",2023-02-18 14:30:00,"{'w': 0.6086767719750475, 'd': 0.19531855721261135, 'l': 0.1960046511602708}",l
19531,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'h': '3', 'a': '0'}","{'h': '3.86403', 'a': '0.212984'}",2023-02-26 16:30:00,"{'w': 0.9600713418403753, 'd': 0.03406198694416846, 'l': 0.005853224071392401}",w
19548,True,a,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '2'}","{'h': '0.596921', 'a': '2.55612'}",2023-03-04 17:30:00,"{'w': 0.06541552813592152, 'd': 0.13741534595971067, 'l': 0.7971690343197462}",w
19549,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '5', 'a': '3'}","{'h': '2.49393', 'a': '2.48124'}",2023-03-11 14:30:00,"{'w': 0.41019707614446677, 'd': 0.184026004695545, 'l': 0.4057767892569692}",w
19559,True,a,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '2', 'a': '1'}","{'h': '1.85014', 'a': '1.10651'}",2023-03-19 16:30:00,"{'w': 0.5475603881192134, 'd': 0.22702253431209593, 'l': 0.22541707618385998}",l
19574,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '4', 'a': '2'}","{'h': '3.10094', 'a': '1.57525'}",2023-04-01 16:30:00,"{'w': 0.6803918527139073, 'd': 0.1518083684428756, 'l': 0.16779877557487902}",w
19578,True,a,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '0', 'a': '1'}","{'h': '1.0909', 'a': '3.09211'}",2023-04-08 13:30:00,"{'w': 0.09978804270907628, 'd': 0.13028809321374923, 'l': 0.7699228950878451}",w
19585,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '1', 'a': '1'}","{'h': '1.88997', 'a': '0.27365'}",2023-04-15 13:30:00,"{'w': 0.7716427054693928, 'd': 0.18247814203386692, 'l': 0.04587915066160383}",d
19597,True,a,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '3', 'a': '1'}","{'h': '1.29569', 'a': '2.70283'}",2023-04-22 13:30:00,"{'w': 0.16189405171793173, 'd': 0.16623434845821783, 'l': 0.671871415178571}",l
19603,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '2', 'a': '0'}","{'h': '2.92722', 'a': '0.0835934'}",2023-04-30 13:30:00,"{'w': 0.9331050617031516, 'd': 0.062060889215725744, 'l': 0.004833552953864674}",w
19620,True,a,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '2'}","{'h': '0.805974', 'a': '2.02292'}",2023-05-06 16:30:00,"{'w': 0.13983566582300458, 'd': 0.20254866142746172, 'l': 0.657615668253541}",w
19621,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '6', 'a': '0'}","{'h': '5.05599', 'a': '0.33961'}",2023-05-13 13:30:00,"{'w': 0.9795680615433392, 'd': 0.01638104330861194, 'l': 0.003796860429102573}",w
19630,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '1', 'a': '3'}","{'h': '1.63955', 'a': '2.63992'}",2023-05-20 16:30:00,"{'w': 0.22861665311305518, 'd': 0.17995113695905998, 'l': 0.5914320721798638}",l
19642,True,a,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '2'}","{'h': '1.15669', 'a': '1.68032'}",2023-05-27 13:30:00,"{'w': 0.2625607431841617, 'd': 0.24136267203636627, 'l': 0.49607658439481245}",w
