id,isResult,h,a,goals,xG,datetime,forecast
18582,True,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '4', 'a': '2'}","{'h': '2.68095', 'a': '0.439661'}",2022-08-13 16:30:00,"{'w': '0.9198', 'd': '0.0652', 'l': '0.015'}"
18583,True,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '2'}","{'h': '0.617683', 'a': '2.28675'}",2022-08-13 16:30:00,"{'w': '0.0347', 'd': '0.1091', 'l': '0.8562'}"
18584,True,"{'id': '271', 'title': 'Monza', 'short_title': 'MON'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '1', 'a': '2'}","{'h': '1.0301', 'a': '3.13646'}",2022-08-13 18:45:00,"{'w': '0.0328', 'd': '0.0949', 'l': '0.8723'}"
18585,True,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '2'}","{'h': '0.752988', 'a': '2.52817'}",2022-08-13 18:45:00,"{'w': '0.0465', 'd': '0.1211', 'l': '0.8324'}"
18586,True,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '2', 'a': '1'}","{'h': '0.709672', 'a': '1.59632'}",2022-08-14 16:30:00,"{'w': '0.0967', 'd': '0.2734', 'l': '0.6299'}"
18587,True,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '272', 'title': 'Cremonese', 'short_title': 'CRE'}","{'h': '3', 'a': '2'}","{'h': '2.01254', 'a': '1.76638'}",2022-08-14 16:30:00,"{'w': '0.4251', 'd': '0.2545', 'l': '0.3204'}"
18588,True,"{'id': '260', 'title': 'Spezia', 'short_title': 'SPE'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '1', 'a': '0'}","{'h': '0.861875', 'a': '0.987781'}",2022-08-14 18:45:00,"{'w': '0.301', 'd': '0.3322', 'l': '0.3668'}"
18589,True,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '0', 'a': '1'}","{'h': '0.505094', 'a': '2.98256'}",2022-08-14 18:45:00,"{'w': '0.0227', 'd': '0.0713', 'l': '0.906'}"
18590,True,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '2', 'a': '5'}","{'h': '1.13087', 'a': '2.79803'}",2022-08-15 16:30:00,"{'w': '0.085', 'd': '0.1629', 'l': '0.7521'}"
18591,True,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '3', 'a': '0'}","{'h': '2.24204', 'a': '0.878583'}",2022-08-15 18:45:00,"{'w': '0.729', 'd': '0.1867', 'l': '0.0843'}"
18592,True,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '0'}","{'h': '0.996405', 'a': '0.713273'}",2022-08-20 16:30:00,"{'w': '0.4307', 'd': '0.3568', 'l': '0.2125'}"
