match_id,season,date_str,date_parsed,home_team,home_short,away_team,away_short,home_goals,away_goals,home_xg,away_xg,is_result
30319,2025,2025-11-21 19:30:00,2025-11-21T19:30:00+00:00,Mainz 05,MAI,Hoffenheim,HOF,,,,,False
30314,2025,2025-11-22 14:30:00,2025-11-22T14:30:00+00:00,Augsburg,AUG,Hamburger SV,HAM,,,,,False
30315,2025,2025-11-22 14:30:00,2025-11-22T14:30:00+00:00,Bayern Munich,BAY,Freiburg,FRE,,,,,False
30316,2025,2025-11-22 14:30:00,2025-11-22T14:30:00+00:00,Borussia Dortmund,DOR,VfB Stuttgart,STU,,,,,False
30318,2025,2025-11-22 14:30:00,2025-11-22T14:30:00+00:00,FC Heidenheim,HEI,Borussia M.Gladbach,BMG,,,,,False
30322,2025,2025-11-22 14:30:00,2025-11-22T14:30:00+00:00,Wolfsburg,WOL,Bayer Leverkusen,LEV,,,,,False
30317,2025,2025-11-22 17:30:00,2025-11-22T17:30:00+00:00,FC Cologne,COL,Eintracht Frankfurt,EIN,,,,,False
30320,2025,2025-11-23 14:30:00,2025-11-23T14:30:00+00:00,RasenBallsport Leipzig,RBL,Werder Bremen,WER,,,,,False
30321,2025,2025-11-23 16:30:00,2025-11-23T16:30:00+00:00,St. Pauli,SPA,Union Berlin,UNI,,,,,False
30325,2025,2025-11-28 19:30:00,2025-11-28T19:30:00+00:00,Borussia M.Gladbach,BMG,RasenBallsport Leipzig,RBL,,,,,False
30324,2025,2025-11-29 14:30:00,2025-11-29T14:30:00+00:00,Bayern Munich,BAY,St. Pauli,SPA,,,,,False
30329,2025,2025-11-29 14:30:00,2025-11-29T14:30:00+00:00,Hoffenheim,HOF,Augsburg,AUG,,,,,False
30330,2025,2025-11-29 14:30:00,2025-11-29T14:30:00+00:00,Union Berlin,UNI,FC Heidenheim,HEI,,,,,False
30331,2025,2025-11-29 14:30:00,2025-11-29T14:30:00+00:00,Werder Bremen,WER,FC Cologne,COL,,,,,False
