team,final_elo,played,wins,draws,losses
Bayern Munich,1686.81,112,78,19,15
Bayer Leverkusen,1593.14,112,67,28,17
Borussia Dortmund,1589.71,112,63,23,26
RasenBallsport Leipzig,1566.01,112,59,27,26
VfB Stuttgart,1552.27,112,51,24,37
Eintracht Frankfurt,1546.94,112,46,36,30
Hoffenheim,1512.09,112,36,25,51
Werder Bremen,1510.69,112,39,27,46
Freiburg,1500.95,112,47,28,37
Schalke 04,1495.44,34,7,10,17
Hertha Berlin,1494.98,34,7,8,19
FC Cologne,1489.55,78,19,26,33
Hamburger SV,1474.54,10,2,3,5
Darmstadt,1472.48,34,3,8,23
Mainz 05,1471.42,112,34,36,42
Union Berlin,1469.23,112,40,28,44
Borussia M.Gladbach,1467.28,112,33,32,47
Holstein Kiel,1453.68,34,6,7,21
Wolfsburg,1452.28,112,36,29,47
Augsburg,1438.4,112,32,27,53
Bochum,1437.43,102,22,25,55
St. Pauli,1415.76,44,10,9,25
FC Heidenheim,1408.89,78,19,19,40
