feature,mean_abs_shap
elo_gap_pre,0.1219217885665389
elo_mean_pre,0.06767431022159033
xg_att_gap_avg5,0.05686658456592511
xg_def_gap_avg5,0.04397375419057628
shot_diff_exp_decay_gap,0.04335567121696399
xg_diff_exp_decay_gap,0.04119215844684903
home_shot_diff_exp_decay,0.03264344208312426
shot_suppress_gap_avg5,0.032187910392523424
elo_away_pre,0.03086981180829206
def_gap_avg5,0.030438659951913458
elo_home_pre,0.030367245416342566
elo_home_expectation,0.028211818305672046
shots_tempo_avg5,0.02804539745576267
away_goal_diff_exp_decay,0.02797714561288658
shot_vol_gap_avg5,0.027134644633929967
xg_diff_std_gap5,0.026006263528464177
home_goal_diff_std5,0.02511726875370368
log_shot_ratio_avg5,0.02471618324845718
away_shot_diff_exp_decay,0.02025292210413866
home_shot_diff_std5,0.019733389948918992
points_gap_avg5,0.019624859546420504
away_goal_diff_std5,0.01819130815414505
att_gap_avg5,0.017919145799221266
away_xg_diff_std5,0.017403880949248555
home_goals_against_avg5,0.01672185915795465
away_goals_for_avg5,0.016283483718356324
goal_diff_exp_decay_gap,0.015538069414238747
home_shots_allowed_avg5,0.01515404310087324
home_goal_diff_exp_decay,0.014301783805689776
away_shots_allowed_avg5,0.014271416523742184
home_shots_for_avg5,0.013928720218790436
home_xg_diff_exp_decay,0.01181830886011012
home_xg_diff_std5,0.01133867389202869
away_goals_against_avg5,0.010178621415818472
away_xg_diff_exp_decay,0.009746308629758038
log_xg_ratio_avg5,0.0084544394870431
goal_diff_std_gap5,0.008359937321363633
home_goals_for_avg5,0.007953698763033996
home_recent_games_frac,0.0070241422299709595
shot_diff_std_gap5,0.006937214842335221
away_shot_diff_std5,0.006424525407660336
away_shots_for_avg5,0.004451070821217983
away_recent_games_frac,0.000823927807994187
elo_expectation_gap,0.0
