feature,class_label,mean_abs_shap
home_goal_diff_std5,Home Win,0.028771646424763216
away_goal_diff_std5,Home Win,0.011739013286493717
goal_diff_std_gap5,Home Win,0.0025096746482420715
home_goal_diff_exp_decay,Home Win,0.017812783617239144
away_goal_diff_exp_decay,Home Win,0.0467413740320907
goal_diff_exp_decay_gap,Home Win,0.022160945932264427
home_xg_diff_std5,Home Win,0.016885862612293565
away_xg_diff_std5,Home Win,0.0146867454683641
xg_diff_std_gap5,Home Win,0.013942929563919704
home_xg_diff_exp_decay,Home Win,0.020604029149205116
away_xg_diff_exp_decay,Home Win,0.009648192227569715
xg_diff_exp_decay_gap,Home Win,0.05170614992426709
home_shot_diff_std5,Home Win,0.04143178336331622
away_shot_diff_std5,Home Win,0.003204380682328094
shot_diff_std_gap5,Home Win,0.0
home_shot_diff_exp_decay,Home Win,0.01915820529862928
away_shot_diff_exp_decay,Home Win,0.029211969169089566
shot_diff_exp_decay_gap,Home Win,0.0635704011801708
home_recent_games_frac,Home Win,0.007885786529506248
away_recent_games_frac,Home Win,0.0
home_shots_for_avg5,Home Win,0.027007672431766216
home_shots_allowed_avg5,Home Win,0.011445101906778287
away_shots_for_avg5,Home Win,0.006741883453385287
away_shots_allowed_avg5,Home Win,0.0035510994855780156
shot_vol_gap_avg5,Home Win,0.034156409042173375
shot_suppress_gap_avg5,Home Win,0.009664945459396886
log_shot_ratio_avg5,Home Win,0.06024572768939349
shots_tempo_avg5,Home Win,0.033543830988137055
att_gap_avg5,Home Win,0.01185032131165887
def_gap_avg5,Home Win,0.020154673735968128
points_gap_avg5,Home Win,0.027632412646456703
xg_att_gap_avg5,Home Win,0.057870087364129755
xg_def_gap_avg5,Home Win,0.05316440174163727
log_xg_ratio_avg5,Home Win,0.009555636561786136
home_goals_for_avg5,Home Win,0.014091753342437249
home_goals_against_avg5,Home Win,0.03045397860072553
away_goals_for_avg5,Home Win,0.0296882813762563
away_goals_against_avg5,Home Win,0.00889782867512355
elo_home_pre,Home Win,0.036496327185473645
elo_away_pre,Home Win,0.04832984091873901
elo_mean_pre,Home Win,0.05044727537197372
elo_gap_pre,Home Win,0.16551327955535763
elo_home_expectation,Home Win,0.0
elo_expectation_gap,Home Win,0.0
home_goal_diff_std5,Draw,0.031746023657444555
away_goal_diff_std5,Draw,0.03597226948048918
goal_diff_std_gap5,Draw,0.01216255157835162
home_goal_diff_exp_decay,Draw,0.012192004967232547
away_goal_diff_exp_decay,Draw,0.024375484621866315
goal_diff_exp_decay_gap,Draw,0.012234288194527229
home_xg_diff_std5,Draw,0.013549657398819302
away_xg_diff_std5,Draw,0.02610479910445089
xg_diff_std_gap5,Draw,0.016389474232277518
home_xg_diff_exp_decay,Draw,0.00754348792259892
away_xg_diff_exp_decay,Draw,0.002979955589771271
xg_diff_exp_decay_gap,Draw,0.03431945836949162
home_shot_diff_std5,Draw,0.004326279716504121
away_shot_diff_std5,Draw,0.0043251629937750575
shot_diff_std_gap5,Draw,0.009345580973414081
home_shot_diff_exp_decay,Draw,0.06575041353193425
away_shot_diff_exp_decay,Draw,0.0
shot_diff_exp_decay_gap,Draw,0.020694627975641446
home_recent_games_frac,Draw,0.009975917038818193
away_recent_games_frac,Draw,0.0
home_shots_for_avg5,Draw,0.005643101228075103
home_shots_allowed_avg5,Draw,0.006024430011096408
away_shots_for_avg5,Draw,0.0032373957466334067
away_shots_allowed_avg5,Draw,0.03403605659947111
shot_vol_gap_avg5,Draw,0.0031236442246319104
shot_suppress_gap_avg5,Draw,0.011322937210090448
log_shot_ratio_avg5,Draw,0.010677029035861292
shots_tempo_avg5,Draw,0.041866465247701844
att_gap_avg5,Draw,0.027260635697686428
def_gap_avg5,Draw,0.05741953855178629
points_gap_avg5,Draw,0.008751322897748713
xg_att_gap_avg5,Draw,0.06011994721748246
