feature,class_label,mean_abs_shap
home_recent_games_frac,Home Win,0.0
away_recent_games_frac,Home Win,0.002470856997463853
log_shot_ratio_avg5,Home Win,0.0
att_gap_avg5,Home Win,0.03334747167611496
def_gap_avg5,Home Win,0.02877318202171785
points_gap_avg5,Home Win,0.025559822605270895
xg_att_gap_avg5,Home Win,0.08790488702871371
xg_def_gap_avg5,Home Win,0.07856394118561102
log_xg_ratio_avg5,Home Win,0.026024216584426673
home_goals_for_avg5,Home Win,0.022130161054106416
home_goals_against_avg5,Home Win,0.03052325728450282
away_goals_for_avg5,Home Win,0.03376870048904482
away_goals_against_avg5,Home Win,0.02193280352271782
elo_home_pre,Home Win,0.021998682606965306
elo_away_pre,Home Win,0.040489999939361594
elo_mean_pre,Home Win,0.07470041263139578
elo_gap_pre,Home Win,0.2075604338183689
elo_home_expectation,Home Win,0.0
elo_expectation_gap,Home Win,0.0
home_recent_games_frac,Draw,0.0
away_recent_games_frac,Draw,0.0
log_shot_ratio_avg5,Draw,0.0
att_gap_avg5,Draw,0.020234802888473503
def_gap_avg5,Draw,0.06252124600393387
points_gap_avg5,Draw,0.020891309690289184
xg_att_gap_avg5,Draw,0.03172567385563939
xg_def_gap_avg5,Draw,0.02876897468341823
log_xg_ratio_avg5,Draw,0.0
home_goals_for_avg5,Draw,0.02212240887427082
home_goals_against_avg5,Draw,0.02151998994659321
away_goals_for_avg5,Draw,0.042704820258636034
away_goals_against_avg5,Draw,0.0030488781819740943
elo_home_pre,Draw,0.05177109861906309
elo_away_pre,Draw,0.023812961382775888
elo_mean_pre,Draw,0.14571013266077892
elo_gap_pre,Draw,0.021492358117317784
elo_home_expectation,Draw,0.0
elo_expectation_gap,Draw,0.0
home_recent_games_frac,Away Win,0.0
away_recent_games_frac,Away Win,0.0
log_shot_ratio_avg5,Away Win,0.0
att_gap_avg5,Away Win,0.05609658841512477
def_gap_avg5,Away Win,0.035407551388752935
points_gap_avg5,Away Win,0.025355265422211958
xg_att_gap_avg5,Away Win,0.043277221466011054
xg_def_gap_avg5,Away Win,0.08632966281210538
log_xg_ratio_avg5,Away Win,0.02301251227483153
home_goals_for_avg5,Away Win,0.011126059308725723
home_goals_against_avg5,Away Win,0.0110412968379135
away_goals_for_avg5,Away Win,0.022849630716349923
away_goals_against_avg5,Away Win,0.024658570584716887
elo_home_pre,Away Win,0.1029759867388445
elo_away_pre,Away Win,0.04578033285321046
elo_mean_pre,Away Win,0.030019715026641875
elo_gap_pre,Away Win,0.1793262768526251
elo_home_expectation,Away Win,0.06139598789758358
elo_expectation_gap,Away Win,0.0
