match_id,date,home_team,away_team,home_goals,away_goals,dr_pre,p_home,p_draw,p_away,k_eff,home_elo_post,away_elo_post
19648,2022-08-05 19:00:00,Lyon,Ajaccio,2,1,60.0,0.4133,0.326,-0.1525,0.644,1500.27,1499.73
19649,2022-08-06 15:00:00,Strasbourg,Monaco,1,2,60.0,0.4133,0.326,-0.1525,0.646,1499.63,1500.37
19650,2022-08-06 19:00:00,Clermont Foot,Paris Saint Germain,0,5,60.0,0.4133,0.326,-0.1525,1.499,1499.14,1500.86
19651,2022-08-07 11:00:00,Toulouse,Nice,1,1,60.0,0.4133,0.326,-0.1525,0.959,1499.93,1500.07
19652,2022-08-07 13:00:00,Lille,Auxerre,4,1,60.0,0.4133,0.326,-0.1525,1.295,1500.55,1499.45
19653,2022-08-07 13:00:00,Montpellier,Troyes,3,2,60.0,0.4133,0.326,-0.1525,0.647,1500.27,1499.73
19654,2022-08-07 13:00:00,Angers,Nantes,0,0,60.0,0.4133,0.326,-0.1525,0.959,1499.93,1500.07
19655,2022-08-07 13:00:00,Lens,Brest,3,2,60.0,0.4133,0.326,-0.1525,0.647,1500.27,1499.73
19656,2022-08-07 15:05:00,Rennes,Lorient,0,1,60.0,0.4133,0.326,-0.1525,0.647,1499.63,1500.37
19657,2022-08-07 18:45:00,Marseille,Reims,4,1,60.0,0.4133,0.326,-0.1525,1.295,1500.55,1499.45
19658,2022-08-12 19:00:00,Nantes,Lille,1,1,59.52,0.4124,0.3264,-0.1512,0.973,1500.0,1500.62
19659,2022-08-13 15:00:00,Monaco,Rennes,1,1,60.75,0.4147,0.3252,-0.1545,0.975,1500.3,1499.7
19660,2022-08-13 19:00:00,Paris Saint Germain,Montpellier,5,2,60.59,0.4144,0.3253,-0.1541,1.316,1501.42,1499.72
19662,2022-08-14 13:00:00,Ajaccio,Lens,0,0,59.45,0.4123,0.3265,-0.151,0.978,1499.65,1500.35
19663,2022-08-14 13:00:00,Auxerre,Angers,2,2,59.52,0.4124,0.3264,-0.1512,0.978,1499.38,1500.0
19664,2022-08-14 13:00:00,Reims,Clermont Foot,2,4,60.32,0.4139,0.3256,-0.1534,1.046,1498.85,1499.74
19665,2022-08-14 13:00:00,Troyes,Toulouse,0,3,59.8,0.4129,0.3262,-0.152,1.32,1498.97,1500.69
19666,2022-08-14 15:05:00,Nice,Strasbourg,1,1,60.45,0.4141,0.3255,-0.1537,0.978,1500.0,1499.7
19667,2022-08-14 18:45:00,Brest,Marseille,1,1,59.18,0.4118,0.3268,-0.1503,0.978,1499.65,1500.62
19673,2022-08-19 19:00:00,Lyon,Troyes,4,1,61.31,0.4157,0.3246,-0.156,1.337,1500.84,1498.4
19668,2022-08-20 15:00:00,Monaco,Lens,1,4,59.95,0.4132,0.326,-0.1524,1.342,1499.52,1501.12
19674,2022-08-20 19:00:00,Marseille,Nantes,2,1,60.62,0.4144,0.3253,-0.1542,0.671,1500.91,1499.72
19675,2022-08-21 11:00:00,Strasbourg,Reims,1,1,60.85,0.4149,0.3251,-0.1548,0.997,1499.63,1498.93
19669,2022-08-21 13:00:00,Angers,Brest,1,3,60.35,0.4139,0.3256,-0.1535,1.066,1499.39,1500.27
19670,2022-08-21 13:00:00,Clermont Foot,Nice,1,0,59.74,0.4128,0.3262,-0.1518,0.673,1500.02,1499.71
19672,2022-08-21 13:00:00,Montpellier,Auxerre,1,2,60.34,0.4139,0.3256,-0.1534,0.673,1499.33,1499.77
19677,2022-08-21 13:00:00,Toulouse,Lorient,2,2,60.31,0.4139,0.3256,-0.1534,0.997,1500.61,1500.45
19676,2022-08-21 15:05:00,Rennes,Ajaccio,2,1,60.05,0.4134,0.3259,-0.1527,0.673,1499.99,1499.37
19671,2022-08-21 18:45:00,Lille,Paris Saint Germain,1,7,59.2,0.4118,0.3268,-0.1504,1.563,1499.72,1502.32
19678,2022-08-26 19:00:00,Ajaccio,Lille,1,3,59.64,0.4126,0.3263,-0.1516,1.081,1498.75,1500.35
19679,2022-08-27 15:00:00,Auxerre,Strasbourg,1,0,60.14,0.4135,0.3258,-0.1529,0.684,1500.05,1499.34
19684,2022-08-27 19:00:00,Lens,Rennes,2,1,61.13,0.4154,0.3248,-0.1556,0.684,1501.41,1499.7
19681,2022-08-28 11:00:00,Nantes,Toulouse,3,1,59.11,0.4116,0.3269,-0.1501,1.087,1500.18,1500.15
19680,2022-08-28 13:00:00,Lorient,Clermont Foot,2,1,60.42,0.4141,0.3255,-0.1537,0.686,1500.74,1499.73
19682,2022-08-28 13:00:00,Nice,Marseille,0,3,58.81,0.4111,0.3272,-0.1493,1.372,1498.92,1501.69
19685,2022-08-28 13:00:00,Brest,Montpellier,0,7,60.94,0.415,0.325,-0.155,1.592,1499.35,1500.25
19687,2022-08-28 13:00:00,Troyes,Angers,3,1,59.02,0.4115,0.327,-0.1499,1.087,1498.86,1498.92
19686,2022-08-28 15:05:00,Reims,Lyon,1,1,58.09,0.4097,0.3279,-0.1474,1.016,1498.85,1500.91
19683,2022-08-28 18:45:00,Paris Saint Germain,Monaco,1,1,62.8,0.4185,0.3231,-0.16,1.016,1502.24,1499.6
19688,2022-08-31 17:00:00,Monaco,Troyes,2,4,60.74,0.4147,0.3252,-0.1545,1.095,1498.97,1499.5
19689,2022-08-31 17:00:00,Angers,Reims,2,4,60.07,0.4134,0.3259,-0.1527,1.096,1498.29,1499.48
19691,2022-08-31 17:00:00,Montpellier,Ajaccio,2,0,61.5,0.4161,0.3244,-0.1566,1.095,1500.71,1498.28
19692,2022-08-31 17:00:00,Lyon,Auxerre,2,1,60.86,0.4149,0.3251,-0.1548,0.691,1501.2,1499.76
19695,2022-08-31 17:00:00,Strasbourg,Nantes,1,1,59.16,0.4117,0.3268,-0.1503,1.025,1499.26,1500.25
19690,2022-08-31 19:00:00,Lille,Nice,1,2,61.42,0.4159,0.3245,-0.1563,0.691,1499.95,1499.32
19693,2022-08-31 19:00:00,Marseille,Clermont Foot,1,0,61.96,0.4169,0.3239,-0.1578,0.691,1501.99,1499.44
19694,2022-08-31 19:00:00,Lens,Lorient,5,2,60.67,0.4145,0.3253,-0.1543,1.382,1501.99,1500.16
19696,2022-08-31 19:00:00,Rennes,Brest,3,1,60.35,0.4139,0.3256,-0.1535,1.096,1500.16,1498.88
19697,2022-08-31 19:00:00,Toulouse,Paris Saint Germain,0,3,57.91,0.4094,0.3281,-0.1469,1.384,1499.35,1503.03
19699,2022-09-03 15:00:00,Auxerre,Marseille,0,2,57.78,0.4092,0.3282,-0.1466,1.106,1499.13,1502.62
19704,2022-09-03 17:00:00,Lyon,Angers,5,0,62.91,0.4187,0.3229,-0.1604,1.617,1501.88,1497.61
19701,2022-09-03 19:00:00,Nantes,Paris Saint Germain,0,3,57.22,0.4081,0.3288,-0.1451,1.396,1499.46,1503.83
19702,2022-09-04 11:00:00,Montpellier,Lille,1,3,60.76,0.4147,0.3252,-0.1546,1.108,1500.07,1500.59
19698,2022-09-04 13:00:00,Ajaccio,Lorient,0,1,58.13,0.4098,0.3279,-0.1475,0.7,1497.88,1500.56
19700,2022-09-04 13:00:00,Clermont Foot,Toulouse,2,0,60.09,0.4134,0.3259,-0.1528,1.108,1499.91,1498.89
19705,2022-09-04 13:00:00,Brest,Strasbourg,1,1,59.62,0.4126,0.3263,-0.1515,1.036,1498.81,1499.34
19706,2022-09-04 13:00:00,Reims,Lens,1,1,57.49,0.4086,0.3285,-0.1458,1.036,1499.41,1502.07
19707,2022-09-04 15:05:00,Troyes,Rennes,1,1,59.33,0.412,0.3266,-0.1507,1.036,1499.42,1500.24
19703,2022-09-04 18:45:00,Nice,Monaco,0,1,60.35,0.4139,0.3256,-0.1535,0.699,1498.92,1499.38
19661,2022-09-07 19:00:00,Lorient,Lyon,3,1,58.67,0.4108,0.3273,-0.149,1.118,1501.03,1501.41
19714,2022-09-09 19:00:00,Lens,Troyes,1,0,62.65,0.4182,0.3232,-0.1597,0.708,1502.37,1499.12
19713,2022-09-10 15:00:00,Paris Saint Germain,Brest,1,0,65.03,0.4227,0.3207,-0.1661,0.709,1504.13,1498.51
