match_id,season,match_datetime_utc,match_outcome_code,outcome_id,forecast_home_win,forecast_draw,forecast_away_win,market_home_edge,market_expected_points_home,market_expected_points_away,market_entropy,market_logit_home,market_max_prob,match_day_index,match_day_of_year_norm,match_weekday_index,match_weekday_Friday,match_weekday_Monday,match_weekday_Saturday,match_weekday_Sunday,match_weekday_Thursday,match_weekday_Tuesday,match_weekday_Wednesday
18222,2022,2022-08-20 11:30:00,H,2,0.5930000000000001,0.2565,0.1505,0.4425,2.0355000000000003,0.7080000000000002,0.9438950537333756,1.371231314808795,0.5930000000000001,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18223,2022,2022-08-20 14:00:00,H,2,0.865,0.0964,0.0386,0.8264,2.6914,0.2122,0.4765747197784585,3.1094772304610943,0.865,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18224,2022,2022-08-20 14:00:00,D,1,0.5009,0.2717,0.2274,0.2735,1.7744,0.9539,1.0371266998620103,0.7896958990471354,0.5009,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18225,2022,2022-08-20 14:00:00,H,2,0.7051000000000001,0.1816,0.1133,0.5918000000000001,2.2969000000000004,0.5215000000000001,0.8029085091331332,1.8283004686910345,0.7051000000000001,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18226,2022,2022-08-20 14:00:00,A,0,0.0592,0.2702,0.6706,-0.6113999999999999,0.4478,2.282,0.7888903338231545,-2.4272512921421683,0.6706,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18227,2022,2022-08-20 16:30:00,A,0,0.0283,0.1571,0.8146,-0.7863,0.242,2.6009,0.5586989068283927,-3.35983539056512,0.8146,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18228,2022,2022-08-21 13:00:00,H,2,0.8405,0.1271,0.0324,0.8081,2.6486,0.2243,0.5193422891655288,3.255838530050387,0.8405,16.0,0.6366120218579235,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18229,2022,2022-08-21 13:00:00,A,0,0.1043,0.2129,0.6828,-0.5785,0.5258,2.2613,0.825635030967075,-1.8789306289135588,0.6828,16.0,0.6366120218579235,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18230,2022,2022-08-21 15:30:00,D,1,0.1483,0.1574,0.6943,-0.546,0.6023,2.2403,0.8273764490382951,-1.5436668946153416,0.6943,16.0,0.6366120218579235,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18231,2022,2022-08-22 19:00:00,H,2,0.4942,0.2493,0.2565,0.2376999999999999,1.7319,1.0188,1.043622495695815,0.6558116289436854,0.4942,17.0,0.639344262295082,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18232,2022,2022-08-27 11:30:00,A,0,0.3237,0.3356,0.3407,-0.017,1.3067,1.3577,1.0983832285009365,-0.0511851637347222,0.3407,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18234,2022,2022-08-27 14:00:00,H,2,0.4733,0.2893,0.2374,0.2359,1.7092,1.0015,1.0542401250966935,0.6899829547366346,0.4733,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18236,2022,2022-08-27 14:00:00,H,2,0.9985,0.0014,0.0001,0.9984,2.9969,0.0017,0.0116197047335806,9.208839245849916,0.9985,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18233,2022,2022-08-27 14:00:00,D,1,0.5416,0.2321,0.2263,0.3152999999999999,1.8569,0.911,1.007384030089929,0.8726661689585735,0.5416,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18237,2022,2022-08-27 14:00:00,H,2,0.9376,0.057,0.0054,0.9322,2.8698,0.0732,0.2518947648780798,5.156924465252519,0.9376,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18235,2022,2022-08-27 14:00:00,H,2,0.3295,0.2616,0.4089,-0.0793999999999999,1.2501,1.4883,1.0822665031433016,-0.2158942734280347,0.4089,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18238,2022,2022-08-27 16:30:00,H,2,0.7576,0.165,0.0774,0.6802,2.4378,0.3972,0.7056568604483079,2.281168761276187,0.7576,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18239,2022,2022-08-28 13:00:00,A,0,0.1929,0.5741,0.233,-0.0401,1.1528,1.2731,0.9754458108130064,-0.1888665336540172,0.5741,23.0,0.6557377049180327,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18240,2022,2022-08-28 13:00:00,D,1,0.1904,0.2345,0.5751,-0.3846999999999999,0.8057000000000001,1.9598,0.9740499203682642,-1.1054168163624434,0.5751,23.0,0.6557377049180327,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
