match_id,season,match_datetime_utc,match_outcome_code,outcome_id,momentum_points_last3_delta_season_z,momentum_points_last2_delta_season_z,momentum_points_last8_delta_season_z,momentum_points_pct_last3_delta_season_z,momentum_goal_diff_last3_delta_season_z,momentum_goal_diff_last2_delta_season_z,momentum_goal_diff_last8_delta_season_z,momentum_xg_diff_last3_delta_season_z,momentum_xg_diff_last2_delta_season_z,momentum_xg_diff_last8_delta_season_z,momentum_points_exp_decay_delta_season_z,momentum_xg_exp_decay_delta_season_z,momentum_matches_last14_delta_season_z,momentum_travel_rest_ratio_delta_season_z,momentum_forecast_win_prev_delta_season_z,momentum_forecast_trend_delta_season_z,form_pct_diff_last5_season_z,form_diff_last5_season_z,rest_diff_season_z,fixture_congestion_flag_pair,momentum_fixture_congestion_delta,rest_reset_flag_pair,match_day_index_season_z,match_day_of_year_norm_season_z,match_weekday_index_season_z,match_weekday_Friday,match_weekday_Monday,match_weekday_Saturday,match_weekday_Sunday,match_weekday_Thursday,match_weekday_Tuesday,match_weekday_Wednesday
18202,2022,2022-08-05 19:00:00,A,0,0.07502904,0.047489647,0.028413355,0.07897649,0.07880082,0.056140825,0.019799376,0.08939467,0.103528485,0.036853958,0.0979902,0.14216247,0.0453116,0.28896046,0.22146143,0.26514703,0.054626755,0.04841828,0.01023315,1,0,0,-1.6760249,0.47435477,-0.2139388,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18203,2022,2022-08-06 11:30:00,D,1,0.07502904,0.047489647,0.028413355,0.07897649,0.07880082,0.056140825,0.019799376,0.08939467,0.103528485,0.036853958,0.0979902,0.14216247,0.0453116,0.28896046,0.22146143,0.26514703,0.054626755,0.04841828,0.01023315,1,0,0,-1.6653243,0.48368424,0.34672844,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18204,2022,2022-08-06 14:00:00,H,2,0.07502904,0.047489647,0.028413355,0.07897649,0.07880082,0.056140825,0.019799376,0.08939467,0.103528485,0.036853958,0.0979902,0.14216247,0.0453116,0.28896046,0.22146143,0.26514703,0.054626755,0.04841828,0.01023315,1,0,0,-1.6653243,0.48368424,0.34672844,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18205,2022,2022-08-06 14:00:00,H,2,0.07502904,0.047489647,0.028413355,0.07897649,0.07880082,0.056140825,0.019799376,0.08939467,0.103528485,0.036853958,0.0979902,0.14216247,0.0453116,0.28896046,0.22146143,0.26514703,0.054626755,0.04841828,0.01023315,1,0,0,-1.6653243,0.48368424,0.34672844,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18206,2022,2022-08-06 14:00:00,H,2,0.07502904,0.047489647,0.028413355,0.07897649,0.07880082,0.056140825,0.019799376,0.08939467,0.103528485,0.036853958,0.0979902,0.14216247,0.0453116,0.28896046,0.22146143,0.26514703,0.054626755,0.04841828,0.01023315,1,0,0,-1.6653243,0.48368424,0.34672844,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18207,2022,2022-08-06 14:00:00,H,2,0.07502904,0.047489647,0.028413355,0.07897649,0.07880082,0.056140825,0.019799376,0.08939467,0.103528485,0.036853958,0.0979902,0.14216247,0.0453116,0.28896046,0.22146143,0.26514703,0.054626755,0.04841828,0.01023315,1,0,0,-1.6653243,0.48368424,0.34672844,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18208,2022,2022-08-06 16:30:00,A,0,0.07502904,0.047489647,0.028413355,0.07897649,0.07880082,0.056140825,0.019799376,0.08939467,0.103528485,0.036853958,0.0979902,0.14216247,0.0453116,0.28896046,0.22146143,0.26514703,0.054626755,0.04841828,0.01023315,1,0,0,-1.6653243,0.48368424,0.34672844,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18209,2022,2022-08-07 13:00:00,A,0,0.07502904,0.047489647,0.028413355,0.07897649,0.07880082,0.056140825,0.019799376,0.08939467,0.103528485,0.036853958,0.0979902,0.14216247,0.0453116,0.28896046,0.22146143,0.26514703,0.054626755,0.04841828,0.01023315,1,0,0,-1.6546237,0.49301374,0.90739566,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18210,2022,2022-08-07 13:00:00,D,1,0.07502904,0.047489647,0.028413355,0.07897649,0.07880082,0.056140825,0.019799376,0.08939467,0.103528485,0.036853958,0.0979902,0.14216247,0.0453116,0.28896046,0.22146143,0.26514703,0.054626755,0.04841828,0.01023315,1,0,0,-1.6546237,0.49301374,0.90739566,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18211,2022,2022-08-07 15:30:00,A,0,0.07502904,0.047489647,0.028413355,0.07897649,0.07880082,0.056140825,0.019799376,0.08939467,0.103528485,0.036853958,0.0979902,0.14216247,0.0453116,0.28896046,0.22146143,0.26514703,0.054626755,0.04841828,0.01023315,1,0,0,-1.6546237,0.49301374,0.90739566,0.0,0.0,0.0,1.0,0.0,0.0,0.0
