match_id,season,match_datetime_utc,match_outcome_code,outcome_id,home_goals_for_last_5,home_goals_against_last_5,home_goal_diff_last_5,home_xg_for_last_5,home_xg_against_last_5,home_xg_diff_last_5,home_points_last_5,away_goals_for_last_5,away_goals_against_last_5,away_goal_diff_last_5,away_xg_for_last_5,away_xg_against_last_5,away_xg_diff_last_5,away_points_last_5,form_diff_last5,xg_diff_last5,match_day_index,match_day_of_year_norm,match_weekday_index,match_weekday_Friday,match_weekday_Monday,match_weekday_Saturday,match_weekday_Sunday,match_weekday_Thursday,match_weekday_Tuesday,match_weekday_Wednesday
18202,2022,2022-08-05 19:00:00,A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592896174863388,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18203,2022,2022-08-06 11:30:00,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5956284153005464,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18204,2022,2022-08-06 14:00:00,H,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5956284153005464,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18205,2022,2022-08-06 14:00:00,H,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5956284153005464,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18206,2022,2022-08-06 14:00:00,H,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5956284153005464,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18207,2022,2022-08-06 14:00:00,H,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5956284153005464,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18208,2022,2022-08-06 16:30:00,A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5956284153005464,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18209,2022,2022-08-07 13:00:00,A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5983606557377049,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18210,2022,2022-08-07 13:00:00,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5983606557377049,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18211,2022,2022-08-07 15:30:00,A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5983606557377049,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18212,2022,2022-08-13 11:30:00,H,2,0.0,2.0,-2.0,0.488895,0.588341,-0.0994459999999999,0.0,0.0,1.0,-1.0,0.541983,1.92315,-1.381167,0.0,0.0,1.281721,8.0,0.6147540983606558,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18213,2022,2022-08-13 14:00:00,D,1,2.0,1.0,1.0,1.7289,1.42103,0.3078700000000001,3.0,2.0,0.0,2.0,1.8591,0.235825,1.623275,3.0,0.0,-1.315405,8.0,0.6147540983606558,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18214,2022,2022-08-13 14:00:00,H,2,2.0,0.0,2.0,2.58739,0.246188,2.341202,3.0,2.0,0.0,2.0,0.588341,0.488895,0.0994459999999999,3.0,0.0,2.241756,8.0,0.6147540983606558,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18215,2022,2022-08-13 14:00:00,D,1,1.0,4.0,-3.0,0.386546,1.6172,-1.230654,0.0,2.0,1.0,1.0,0.88917,1.10119,-0.2120199999999998,3.0,-3.0,-1.018634,8.0,0.6147540983606558,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18216,2022,2022-08-13 14:00:00,D,1,1.0,2.0,-1.0,1.10119,0.88917,0.2120199999999998,0.0,2.0,2.0,0.0,1.26822,2.34111,-1.07289,1.0,-1.0,1.28491,8.0,0.6147540983606558,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18217,2022,2022-08-13 14:00:00,H,2,2.0,0.0,2.0,1.43601,1.20637,0.22964,3.0,2.0,2.0,0.0,0.455695,0.931067,-0.4753719999999999,1.0,2.0,0.705012,8.0,0.6147540983606558,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18218,2022,2022-08-13 16:30:00,H,2,2.0,2.0,0.0,0.931067,0.455695,0.4753719999999999,1.0,1.0,2.0,-1.0,1.42103,1.7289,-0.3078700000000001,0.0,1.0,0.783242,8.0,0.6147540983606558,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18219,2022,2022-08-14 13:00:00,H,2,0.0,2.0,-2.0,0.235825,1.8591,-1.623275,0.0,0.0,2.0,-2.0,0.246188,2.58739,-2.341202,0.0,0.0,0.717927,9.0,0.6174863387978142,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18220,2022,2022-08-14 15:30:00,D,1,1.0,0.0,1.0,1.92315,0.541983,1.381167,3.0,4.0,1.0,3.0,1.6172,0.386546,1.230654,3.0,0.0,0.1505130000000001,9.0,0.6174863387978142,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18221,2022,2022-08-15 19:00:00,D,1,2.0,2.0,0.0,2.34111,1.26822,1.07289,1.0,0.0,2.0,-2.0,1.20637,1.43601,-0.22964,0.0,1.0,1.3025300000000002,10.0,0.6202185792349727,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18222,2022,2022-08-20 11:30:00,H,2,6.0,3.0,3.0,3.20428,2.225996,0.978284,4.0,1.0,2.0,-1.0,2.076565,1.9773,0.0992649999999998,1.0,3.0,0.8790190000000001,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18223,2022,2022-08-20 14:00:00,H,2,1.0,3.0,-2.0,2.85105,3.67197,-0.8209200000000001,1.0,2.0,3.0,-1.0,3.155855,1.963411,1.192444,3.0,-2.0,-2.013364,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18224,2022,2022-08-20 14:00:00,D,1,1.0,3.0,-2.0,1.917053,4.59011,-2.673057,0.0,1.0,2.0,-1.0,2.207525,3.94544,-1.737915,3.0,-3.0,-0.935142,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18225,2022,2022-08-20 14:00:00,H,2,2.0,2.0,0.0,2.35635,3.316485,-0.960135,2.0,6.0,2.0,4.0,2.318917,1.351733,0.967184,4.0,-2.0,-1.927319,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18226,2022,2022-08-20 14:00:00,A,0,4.0,6.0,-2.0,1.146374,3.941767,-2.795393,1.0,3.0,6.0,-3.0,1.795606,3.61414,-1.818534,1.0,0.0,-0.976859,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18227,2022,2022-08-20 16:30:00,A,0,2.0,4.0,-2.0,0.712287,2.179535,-1.467248,3.0,6.0,2.0,4.0,4.4467099999999995,1.897049,2.5496609999999995,6.0,-3.0,-4.016909,15.0,0.6338797814207651,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18228,2022,2022-08-21 13:00:00,H,2,4.0,3.0,1.0,2.88611,2.51025,0.3758600000000001,4.0,3.0,2.0,1.0,3.7626,2.129063,1.633537,4.0,0.0,-1.257677,16.0,0.6366120218579235,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18229,2022,2022-08-21 13:00:00,A,0,0.0,3.0,-3.0,2.332528,4.55909,-2.2265620000000004,0.0,2.0,1.0,1.0,3.33725,1.604982,1.732268,4.0,-4.0,-3.9588300000000007,16.0,0.6366120218579235,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18230,2022,2022-08-21 15:30:00,D,1,2.0,0.0,2.0,2.043052,1.844175,0.1988769999999999,4.0,6.0,0.0,6.0,4.27803,0.3701339999999999,3.907896,6.0,-2.0,-3.709019,16.0,0.6366120218579235,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18231,2022,2022-08-22 19:00:00,H,2,1.0,6.0,-5.0,2.317068,3.11675,-0.7996820000000001,0.0,3.0,3.0,0.0,4.57707,2.9128999999999996,1.66417,2.0,-2.0,-2.463852,17.0,0.639344262295082,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18232,2022,2022-08-27 11:30:00,A,0,5.0,7.0,-2.0,3.037156,3.857088,-0.8199319999999999,4.0,3.0,7.0,-4.0,4.334708,4.63976,-0.305052,3.0,1.0,-0.5148799999999999,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18234,2022,2022-08-27 14:00:00,H,2,4.0,1.0,3.0,5.1637,2.373616,2.790084,7.0,7.0,3.0,4.0,5.09582,3.202742,1.893078,7.0,0.0,0.8970060000000004,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
