feature,baseline_accuracy,baseline_logloss,loo_accuracy,loo_logloss,accuracy_drop,logloss_increase,mean_abs_shap,shap_rank,accuracy_drop_rank
elo_gap_pre,0.4666666666666667,1.0507179498672485,0.4266666666666667,1.0915405750274658,0.03999999999999998,0.040822625160217285,0.1219217885665389,1.0,1.0
elo_mean_pre,0.4666666666666667,1.0507179498672485,0.5,1.042758822441101,-0.033333333333333326,-0.007959127426147461,0.06767431022159033,2.0,11.0
xg_att_gap_avg5,0.4666666666666667,1.0507179498672485,0.44666666666666666,1.0651941299438477,0.020000000000000018,0.014476180076599121,0.05686658456592511,3.0,3.0
xg_def_gap_avg5,0.4666666666666667,1.0507179498672485,0.47333333333333333,1.0506306886672974,-0.006666666666666654,-8.726119995117188e-05,0.04397375419057628,4.0,7.0
shot_diff_exp_decay_gap,0.4666666666666667,1.0507179498672485,0.44,1.0502451658248901,0.026666666666666672,-0.00047278404235839844,0.04335567121696399,5.0,2.0
xg_diff_exp_decay_gap,0.4666666666666667,1.0507179498672485,0.47333333333333333,1.0389957427978516,-0.006666666666666654,-0.011722207069396973,0.04119215844684903,6.0,7.0
home_shot_diff_exp_decay,0.4666666666666667,1.0507179498672485,0.44666666666666666,1.0619455575942993,0.020000000000000018,0.011227607727050781,0.03264344208312426,7.0,3.0
shot_suppress_gap_avg5,0.4666666666666667,1.0507179498672485,0.47333333333333333,1.0522302389144897,-0.006666666666666654,0.001512289047241211,0.032187910392523424,8.0,7.0
elo_away_pre,0.4666666666666667,1.0507179498672485,0.4866666666666667,1.0510728359222412,-0.020000000000000018,0.0003548860549926758,0.03086981180829206,9.0,9.0
def_gap_avg5,0.4666666666666667,1.0507179498672485,0.46,1.0592570304870605,0.006666666666666654,0.008539080619812012,0.030438659951913458,10.0,5.0
elo_home_pre,0.4666666666666667,1.0507179498672485,0.47333333333333333,1.0502721071243286,-0.006666666666666654,-0.0004458427429199219,0.030367245416342566,11.0,7.0
elo_home_expectation,0.4666666666666667,1.0507179498672485,0.4666666666666667,1.0402508974075317,0.0,-0.010467052459716797,0.028211818305672046,12.0,6.0
shots_tempo_avg5,0.4666666666666667,1.0507179498672485,0.4666666666666667,1.0512750148773193,0.0,0.0005570650100708008,0.02804539745576267,13.0,6.0
away_goal_diff_exp_decay,0.4666666666666667,1.0507179498672485,0.4666666666666667,1.0497432947158813,0.0,-0.0009746551513671875,0.02797714561288658,14.0,6.0
shot_vol_gap_avg5,0.4666666666666667,1.0507179498672485,0.46,1.0566825866699219,0.006666666666666654,0.00596463680267334,0.027134644633929967,15.0,5.0
xg_diff_std_gap5,0.4666666666666667,1.0507179498672485,0.48,1.0360426902770996,-0.013333333333333308,-0.014675259590148926,0.026006263528464177,16.0,8.0
home_goal_diff_std5,0.4666666666666667,1.0507179498672485,0.5,1.0409868955612183,-0.033333333333333326,-0.009731054306030273,0.02511726875370368,17.0,11.0
log_shot_ratio_avg5,0.4666666666666667,1.0507179498672485,0.44,1.0576214790344238,0.026666666666666672,0.006903529167175293,0.02471618324845718,18.0,2.0
away_shot_diff_exp_decay,0.4666666666666667,1.0507179498672485,0.49333333333333335,1.0460408926010132,-0.026666666666666672,-0.0046770572662353516,0.02025292210413866,19.0,10.0
home_shot_diff_std5,0.4666666666666667,1.0507179498672485,0.4533333333333333,1.0518430471420288,0.013333333333333364,0.0011250972747802734,0.019733389948918992,20.0,4.0
points_gap_avg5,0.4666666666666667,1.0507179498672485,0.46,1.053157091140747,0.006666666666666654,0.002439141273498535,0.019624859546420504,21.0,5.0
away_goal_diff_std5,0.4666666666666667,1.0507179498672485,0.46,1.0562084913253784,0.006666666666666654,0.005490541458129883,0.01819130815414505,22.0,5.0
att_gap_avg5,0.4666666666666667,1.0507179498672485,0.4666666666666667,1.0568928718566895,0.0,0.006174921989440918,0.017919145799221266,23.0,6.0
away_xg_diff_std5,0.4666666666666667,1.0507179498672485,0.48,1.0499454736709595,-0.013333333333333308,-0.0007724761962890625,0.017403880949248555,24.0,8.0
home_goals_against_avg5,0.4666666666666667,1.0507179498672485,0.44666666666666666,1.0539087057113647,0.020000000000000018,0.003190755844116211,0.01672185915795465,25.0,3.0
away_goals_for_avg5,0.4666666666666667,1.0507179498672485,0.4866666666666667,1.0477416515350342,-0.020000000000000018,-0.0029762983322143555,0.016283483718356324,26.0,9.0
goal_diff_exp_decay_gap,0.4666666666666667,1.0507179498672485,0.46,1.0491669178009033,0.006666666666666654,-0.0015510320663452148,0.015538069414238747,27.0,5.0
home_shots_allowed_avg5,0.4666666666666667,1.0507179498672485,0.46,1.0495325326919556,0.006666666666666654,-0.0011854171752929688,0.01515404310087324,28.0,5.0
home_goal_diff_exp_decay,0.4666666666666667,1.0507179498672485,0.47333333333333333,1.0554555654525757,-0.006666666666666654,0.0047376155853271484,0.014301783805689776,29.0,7.0
away_shots_allowed_avg5,0.4666666666666667,1.0507179498672485,0.4533333333333333,1.0533881187438965,0.013333333333333364,0.0026701688766479492,0.014271416523742184,30.0,4.0
