player_id,player_name,season,team,position,games,time,goals,assists,xG,xA,shots,key_passes,yellow,red,npg,npxG,xGChain,xGBuildup
9811,Óscar Valentín,2025,,MC,3,247,0,0,0.0193251129239797,0.0,1,0,0,0,0,0.0193251129239797,0.8613841533660889,0.8613841533660889
9811,Óscar Valentín,2025,,DMC,2,180,0,0,0.0,0.0,0,0,0,0,0,0.0,0.6783710792660713,0.6783710792660713
9811,Óscar Valentín,2025,,Sub,2,12,0,0,0.1048586294054985,0.0,1,0,0,0,0,0.1048586294054985,0.1048586294054985,0.0
9811,Óscar Valentín,2024,,MC,11,873,0,0,0.559962835162878,0.1061116643249988,2,3,3,0,0,0.559962835162878,0.8652802221477032,0.8365305028855801
9811,Óscar Valentín,2024,,DMC,7,584,0,0,0.1334355752915144,0.0934483930468559,2,2,1,0,0,0.1334355752915144,1.5697562098503113,1.532668113708496
9811,Óscar Valentín,2024,,Sub,16,347,0,0,0.0536769516766071,0.6127586886286736,1,8,0,0,0,0.0536769516766071,2.054002432152629,1.4679440204054115
9811,Óscar Valentín,2023,,MC,17,1487,1,0,1.9903082251548767,0.5993350064381957,9,6,2,1,1,1.9903082251548767,5.517642300575972,4.865854667499661
9811,Óscar Valentín,2023,,DMC,15,1210,0,0,0.5086491033434868,0.1560313943773508,5,5,3,0,0,0.5086491033434868,1.2579143270850182,1.0809352062642574
9811,Óscar Valentín,2023,,Sub,2,31,0,0,0.0185612738132476,0.0,1,0,0,0,0,0.0185612738132476,0.1028169244527816,0.084255650639534
9811,Óscar Valentín,2022,,DMC,23,1932,0,0,0.2490339493378996,0.5378275951370597,9,14,8,0,0,0.2490339493378996,4.42858297098428,3.919460292905569
9811,Óscar Valentín,2022,,MC,6,497,0,0,0.0543832331895828,0.0642141606658697,3,2,1,0,0,0.0543832331895828,0.6357917245477438,0.55964195728302
9811,Óscar Valentín,2022,,Sub,5,140,0,0,0.0,0.1355054005980491,0,3,2,0,0,0.0,0.1145543549209833,0.0669069532305002
9811,Óscar Valentín,2021,,DMC,28,2354,0,0,0.6177261173725128,1.0113102979958055,7,14,7,0,0,0.6177261173725128,5.777691416442394,5.491496413946152
9811,Óscar Valentín,2021,,Sub,6,162,0,0,0.0467278994619846,0.0,2,0,1,0,0,0.0467278994619846,0.1457127016037702,0.128803301602602
9811,Óscar Valentín,2021,,MC,1,90,0,0,0.5983279943466187,0.0505351014435291,2,1,0,0,0,0.5983279943466187,0.0505351014435291,0.0
