player_id,player_name,season,team,position,games,time,goals,assists,xG,xA,shots,key_passes,yellow,red,npg,npxG,xGChain,xGBuildup
1523,Danilo D&#039;Ambrosio,2024,Monza,Sub,20,1098,0,1,0.7285793609917164,0.5376804694533348,9,5,2,1,0,0.7285793609917164,2.087382886558771,1.662583826109767
1523,Danilo D&#039;Ambrosio,2023,Monza,DC,24,1525,0,0,0.7400869764387608,0.2313196407631039,14,4,3,1,0,0.7400869764387608,4.484826764091849,4.147360630333424
1523,Danilo D&#039;Ambrosio,2022,Inter,Sub,15,721,0,2,0.3231622837483883,1.1159177795052528,3,7,3,1,0,0.3231622837483883,2.828417155891657,2.275546859949827
1523,Danilo D&#039;Ambrosio,2021,Inter,Sub,20,973,1,1,1.9922331124544144,0.0998666994273662,14,2,2,0,1,1.9922331124544144,6.770738296210766,5.579721055924892
1523,Danilo D&#039;Ambrosio,2020,Inter,DC,19,679,3,0,1.9678721204400065,0.2012893967330455,8,3,2,0,3,1.9678721204400065,2.5919086262583733,2.384027130901813
1523,Danilo D&#039;Ambrosio,2019,Inter,DC,22,1398,4,0,2.063181735575199,0.8774080201983452,7,7,6,0,4,2.063181735575199,8.620566602796316,6.61699515208602
1523,Danilo D&#039;Ambrosio,2018,Inter,DR,30,2582,2,5,2.154350249096751,5.70423735678196,16,34,6,0,2,2.154350249096751,14.445319479331374,10.01207596063614
1523,Danilo D&#039;Ambrosio,2017,Inter,DR,34,2992,2,3,3.6332515198737374,1.9231244586408136,18,20,6,0,2,3.6332515198737374,11.572092166170478,9.690560325980186
1523,Danilo D&#039;Ambrosio,2016,Inter,DC,32,2834,3,3,2.328121623955667,3.1842399686574936,25,23,4,0,3,2.328121623955667,12.312917124480007,9.297520246356726
1523,Danilo D&#039;Ambrosio,2015,Inter,DR,20,1620,2,0,1.6568067856132984,0.6495416853576899,8,9,3,1,2,1.6568067856132984,4.072577133774757,3.462390928529203
1523,Danilo D&#039;Ambrosio,2014,Inter,Sub,23,1691,0,2,0.8074304070323706,1.8835107907652853,14,20,8,0,0,0.8074304070323706,5.964670531451702,4.82982237637043
