match_id,date,home_team,away_team,home_goals,away_goals,dr_pre,p_home,p_draw,p_away,k_eff,home_elo_post,away_elo_post
19342,2022-08-05 18:30:00,Eintracht Frankfurt,Bayern Munich,1,6,60.0,0.4133,0.326,-0.1525,1.495,1499.14,1500.86
19343,2022-08-06 13:30:00,Union Berlin,Hertha Berlin,3,1,60.0,0.4133,0.326,-0.1525,1.023,1500.43,1499.57
19344,2022-08-06 13:30:00,Borussia M.Gladbach,Hoffenheim,3,1,60.0,0.4133,0.326,-0.1525,1.023,1500.43,1499.57
19345,2022-08-06 13:30:00,Wolfsburg,Werder Bremen,2,2,60.0,0.4133,0.326,-0.1525,0.957,1499.93,1500.07
19346,2022-08-06 13:30:00,Bochum,Mainz 05,1,2,60.0,0.4133,0.326,-0.1525,0.646,1499.63,1500.37
19347,2022-08-06 13:30:00,Augsburg,Freiburg,0,4,60.0,0.4133,0.326,-0.1525,1.499,1499.14,1500.86
19348,2022-08-06 16:30:00,Borussia Dortmund,Bayer Leverkusen,1,0,60.0,0.4133,0.326,-0.1525,0.646,1500.27,1499.73
19349,2022-08-07 13:30:00,VfB Stuttgart,RasenBallsport Leipzig,1,1,60.0,0.4133,0.326,-0.1525,0.959,1499.93,1500.07
19350,2022-08-07 15:30:00,FC Cologne,Schalke 04,3,1,60.0,0.4133,0.326,-0.1525,1.026,1500.43,1499.57
19351,2022-08-12 18:30:00,Freiburg,Borussia Dortmund,1,3,60.59,0.4144,0.3253,-0.1541,1.04,1500.26,1500.87
19352,2022-08-13 13:30:00,Bayer Leverkusen,Augsburg,1,2,60.59,0.4144,0.3253,-0.1541,0.658,1499.35,1499.52
19353,2022-08-13 13:30:00,RasenBallsport Leipzig,FC Cologne,2,2,59.64,0.4126,0.3263,-0.1515,0.975,1500.0,1500.51
19354,2022-08-13 13:30:00,Werder Bremen,VfB Stuttgart,2,2,60.15,0.4136,0.3258,-0.1529,0.975,1500.0,1500.0
19355,2022-08-13 13:30:00,Hoffenheim,Bochum,3,2,59.94,0.4132,0.326,-0.1524,0.658,1499.85,1499.35
