match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result,points
23157,2023-11-12 14:30:00,Bundesliga,2023,Bayer Leverkusen,Union Berlin,Home,4,0,3.04223,0.0283806,18,2,w,3
23171,2023-11-25 14:30:00,Bundesliga,2023,Bayer Leverkusen,Werder Bremen,Away,3,0,1.7528,0.306657,14,3,w,3
23175,2023-12-03 16:30:00,Bundesliga,2023,Bayer Leverkusen,Borussia Dortmund,Home,1,1,1.96389,1.26088,24,6,d,1
23189,2023-12-10 14:30:00,Bundesliga,2023,Bayer Leverkusen,VfB Stuttgart,Away,1,1,1.47429,2.61136,18,22,d,1
23194,2023-12-17 16:30:00,Bundesliga,2023,Bayer Leverkusen,Eintracht Frankfurt,Home,3,0,2.4919,0.205245,14,4,w,3
23202,2023-12-20 19:30:00,Bundesliga,2023,Bayer Leverkusen,Bochum,Home,4,0,3.32375,0.325421,16,6,w,3
23216,2024-01-13 14:30:00,Bundesliga,2023,Bayer Leverkusen,Augsburg,Away,1,0,2.31757,0.445211,24,4,w,3
23219,2024-01-20 17:30:00,Bundesliga,2023,Bayer Leverkusen,RasenBallsport Leipzig,Away,3,2,2.17224,1.59453,18,10,w,3
23229,2024-01-27 17:30:00,Bundesliga,2023,Bayer Leverkusen,Borussia M.Gladbach,Home,0,0,3.32828,0.278864,28,4,d,1
23244,2024-02-03 14:30:00,Bundesliga,2023,Bayer Leverkusen,Darmstadt,Away,2,0,2.18207,0.432778,20,8,w,3
23250,2024-02-10 17:30:00,Bundesliga,2023,Bayer Leverkusen,Bayern Munich,Home,3,0,1.22993,0.710198,14,9,w,3
23261,2024-02-17 14:30:00,Bundesliga,2023,Bayer Leverkusen,FC Heidenheim,Away,2,1,1.87986,0.698981,18,6,w,3
23268,2024-02-23 19:30:00,Bundesliga,2023,Bayer Leverkusen,Mainz 05,Home,2,1,1.47222,0.471019,17,12,w,3
23276,2024-03-03 14:30:00,Bundesliga,2023,Bayer Leverkusen,FC Cologne,Away,2,0,1.63841,1.29405,17,6,w,3
23283,2024-03-10 18:30:00,Bundesliga,2023,Bayer Leverkusen,Wolfsburg,Home,2,0,2.09982,0.354851,19,2,w,3
