feature,class_label,mean_abs_shap
forecast_home_win,Home Win,0.016840468846261506
forecast_draw,Home Win,0.030964803515382416
forecast_away_win,Home Win,0.1548649804722964
market_home_edge,Home Win,0.26640349347430353
market_entropy,Home Win,0.028630631135303217
market_logit_home,Home Win,0.06524657967476716
market_max_prob,Home Win,0.06614934836040093
prob_edge,Home Win,0.07716104074004108
elo_home_pre,Home Win,0.05082241766227723
elo_away_pre,Home Win,0.022931695784612866
elo_mean_pre,Home Win,0.0537423154509122
elo_gap_pre,Home Win,0.08124251206303011
elo_home_expectation,Home Win,0.022975486038799845
elo_expectation_gap,Home Win,0.009039515977500313
market_vs_elo_edge,Home Win,0.008223161823395638
match_day_index,Home Win,0.022175854726263794
match_day_of_year_norm,Home Win,0.05106149959880762
match_weekday_index,Home Win,0.019943850100059824
forecast_home_win,Draw,0.014296202215071142
forecast_draw,Draw,0.16736953464261028
forecast_away_win,Draw,0.029524866904524
market_home_edge,Draw,0.016286730723393462
market_entropy,Draw,0.09183029285918848
market_logit_home,Draw,0.005647955617331907
market_max_prob,Draw,0.013023272927772877
prob_edge,Draw,0.0021012652102857837
elo_home_pre,Draw,0.039374013744263615
elo_away_pre,Draw,0.03588886087749077
elo_mean_pre,Draw,0.13854107554114886
elo_gap_pre,Draw,0.030421256893357115
elo_home_expectation,Draw,0.005368812102777883
elo_expectation_gap,Draw,0.0035453442865051323
market_vs_elo_edge,Draw,0.01696082269516385
match_day_index,Draw,0.039229286745819276
match_day_of_year_norm,Draw,0.007597628917777915
match_weekday_index,Draw,0.0022511067792928456
forecast_home_win,Away Win,0.04155429980863508
forecast_draw,Away Win,0.05563619687452639
forecast_away_win,Away Win,0.24581844094442593
market_home_edge,Away Win,0.08922445190600897
market_entropy,Away Win,0.06804497695170963
market_logit_home,Away Win,0.2574705088803932
market_max_prob,Away Win,0.01238429027047241
prob_edge,Away Win,0.010304790747708945
elo_home_pre,Away Win,0.08845727202485429
elo_away_pre,Away Win,0.016380743948758266
elo_mean_pre,Away Win,0.024879113781048595
elo_gap_pre,Away Win,0.054712087450498575
elo_home_expectation,Away Win,0.03422284857091338
elo_expectation_gap,Away Win,0.01138251635226188
market_vs_elo_edge,Away Win,0.00892744844807506
match_day_index,Away Win,0.036967812704706254
match_day_of_year_norm,Away Win,0.0259485934700429
match_weekday_index,Away Win,0.007112340045697058
