team,final_elo,played,wins,draws,losses
Real Madrid,1762.64,123,87,20,16
Barcelona,1728.1,123,89,16,18
Atletico Madrid,1725.5,123,73,26,24
Villarreal,1680.26,123,58,30,35
Real Betis,1650.53,123,51,40,32
Athletic Club,1580.86,123,56,35,32
Espanyol,1561.44,85,23,25,37
Rayo Vallecano,1555.16,123,37,39,47
Osasuna,1549.15,123,42,34,47
Sevilla,1538.45,123,37,33,53
Alaves,1524.91,85,25,25,35
Elche,1513.48,47,8,15,24
Mallorca,1492.89,123,37,35,51
Leganes,1482.24,38,9,13,16
Valencia,1475.71,123,37,35,51
Celta Vigo,1469.82,123,37,35,51
Getafe,1469.64,123,34,36,53
Levante,1458.86,9,2,2,5
Almeria,1413.35,76,14,20,42
Real Oviedo,1407.88,9,2,0,7
Cadiz,1384.09,76,16,27,33
Real Sociedad,1381.43,123,51,30,42
Girona,1355.53,123,50,27,46
Las Palmas,1337.55,76,18,18,40
Granada,1311.16,38,4,9,25
Real Valladolid,1189.36,76,15,11,50
