team,final_elo,played,wins,draws,losses
Real Madrid,1648.81,126,89,21,16
Barcelona,1647.73,126,91,16,19
Atletico Madrid,1618.46,126,76,26,24
Villarreal,1598.82,126,61,30,35
Real Betis,1545.72,126,52,41,33
Athletic Club,1524.69,126,57,35,34
Rayo Vallecano,1498.42,126,38,40,48
Celta Vigo,1492.5,126,39,35,52
Elche,1491.26,50,8,16,26
Espanyol,1489.77,88,24,25,39
Alaves,1484.66,88,26,25,37
Cadiz,1482.44,76,16,27,33
Real Sociedad,1480.75,126,53,31,42
Osasuna,1480.08,126,42,35,49
Almeria,1478.7,76,14,20,42
Getafe,1478.62,126,36,36,54
Granada,1476.94,38,4,9,25
Leganes,1475.83,38,9,13,16
Sevilla,1475.48,126,38,33,55
Valencia,1472.89,126,37,36,53
Mallorca,1468.28,126,38,36,52
Levante,1467.13,12,2,3,7
Las Palmas,1447.23,76,18,18,40
Real Oviedo,1439.76,12,2,2,8
Girona,1437.89,126,51,28,47
Real Valladolid,1397.13,76,15,11,50
