Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Arsenal,8,6,1,1,15,3,19,15.36,13.84,5.54,5.54,8.3,9.25,17.07,77,26,17.0
Manchester City,8,5,1,2,17,6,16,15.6,15.6,8.24,7.48,8.12,13.31,12.42,75,40,15.77
Bournemouth,8,4,3,1,14,11,15,11.91,11.15,11.11,10.34,0.81,8.85,10.14,62,52,12.66
Liverpool,8,5,0,3,14,11,15,15.09,14.32,12.21,12.21,2.11,9.15,13.68,72,49,12.71
Chelsea,8,4,2,2,16,9,14,14.8,14.04,11.86,11.86,2.18,9.01,14.86,49,55,11.99
Tottenham,8,4,2,2,14,7,14,9.16,9.16,9.29,9.29,-0.14,9.2,11.41,51,43,10.94
Sunderland,8,4,2,2,9,6,14,8.48,7.72,9.73,8.97,-1.25,14.12,10.77,28,64,9.98
Crystal Palace,8,3,4,1,12,8,13,19.1,17.58,12.01,11.25,6.33,13.83,9.65,60,42,15.67
Manchester United,8,4,1,3,11,12,13,16.51,14.22,12.98,12.98,1.24,11.47,11.93,52,49,13.15
Brighton,8,3,3,2,12,11,12,12.49,10.2,11.15,10.39,-0.19,10.25,10.97,42,54,12.03
Aston Villa,8,3,3,2,8,8,12,7.25,7.25,10.93,10.17,-2.92,11.23,9.49,57,37,8.04
Everton,8,3,2,3,9,9,11,10.97,10.21,12.26,10.74,-0.53,12.9,8.5,58,61,10.25
Brentford,8,3,1,4,11,12,10,12.85,11.33,10.18,8.65,2.67,13.44,9.52,39,53,12.09
Newcastle United,8,2,3,3,7,7,9,10.85,10.09,5.83,5.83,4.26,10.68,11.04,58,45,13.7
Fulham,8,2,2,4,8,12,8,8.25,8.25,11.85,9.57,-1.32,13.82,12.67,52,61,8.35
Leeds,8,2,2,4,7,13,8,10.36,9.6,8.68,7.92,1.68,13.61,12.08,40,41,12.61
Burnley,8,2,1,5,9,15,7,5.9,5.9,18.04,16.51,-10.62,13.85,10.72,24,77,4.31
Nottingham Forest,8,1,2,5,5,15,5,8.74,8.74,17.0,14.72,-5.98,11.19,12.91,46,50,6.78
West Ham,8,1,1,6,6,18,4,6.93,6.17,16.67,15.91,-9.74,16.33,11.62,40,68,6.16
Wolverhampton Wanderers,8,0,2,6,5,16,2,5.98,5.98,11.01,11.01,-5.02,9.4,12.24,42,57,7.1
