match_id,season,date_str,date_parsed,home_team,home_short,away_team,away_short,home_goals,away_goals,home_xg,away_xg,is_result
29651,2025,2025-11-21 19:45:00,2025-11-21T19:45:00+00:00,Nice,NIC,Marseille,MAR,,,,,False
29648,2025,2025-11-22 16:00:00,2025-11-22T16:00:00+00:00,Lens,LEN,Strasbourg,STR,,,,,False
29653,2025,2025-11-22 18:00:00,2025-11-22T18:00:00+00:00,Rennes,REN,Monaco,MON,,,,,False
29652,2025,2025-11-22 20:05:00,2025-11-22T20:05:00+00:00,Paris Saint Germain,PSG,Le Havre,LHV,,,,,False
29646,2025,2025-11-23 14:00:00,2025-11-23T14:00:00+00:00,Auxerre,AUX,Lyon,LYO,,,,,False
29647,2025,2025-11-23 16:15:00,2025-11-23T16:15:00+00:00,Brest,BRE,Metz,MET,,,,,False
29650,2025,2025-11-23 16:15:00,2025-11-23T16:15:00+00:00,Nantes,NAN,Lorient,LOR,,,,,False
29654,2025,2025-11-23 16:15:00,2025-11-23T16:15:00+00:00,Toulouse,TOU,Angers,ANG,,,,,False
29649,2025,2025-11-23 19:45:00,2025-11-23T19:45:00+00:00,Lille,LIL,Paris FC,PAR,,,,,False
29660,2025,2025-11-28 19:45:00,2025-11-28T19:45:00+00:00,Metz,MET,Rennes,REN,,,,,False
29661,2025,2025-11-29 16:00:00,2025-11-29T16:00:00+00:00,Monaco,MON,Paris Saint Germain,PSG,,,,,False
29662,2025,2025-11-29 18:00:00,2025-11-29T18:00:00+00:00,Paris FC,PAR,Auxerre,AUX,,,,,False
29659,2025,2025-11-29 20:05:00,2025-11-29T20:05:00+00:00,Marseille,MAR,Toulouse,TOU,,,,,False
29663,2025,2025-11-30 14:00:00,2025-11-30T14:00:00+00:00,Strasbourg,STR,Brest,BRE,,,,,False
29655,2025,2025-11-30 16:15:00,2025-11-30T16:15:00+00:00,Angers,ANG,Lens,LEN,,,,,False
29656,2025,2025-11-30 16:15:00,2025-11-30T16:15:00+00:00,Le Havre,LHV,Lille,LIL,,,,,False
29657,2025,2025-11-30 16:15:00,2025-11-30T16:15:00+00:00,Lorient,LOR,Nice,NIC,,,,,False
29658,2025,2025-11-30 19:45:00,2025-11-30T19:45:00+00:00,Lyon,LYO,Nantes,NAN,,,,,False
29664,2025,2025-12-07 12:00:00,2025-12-07T12:00:00+00:00,Auxerre,AUX,Metz,MET,,,,,False
29665,2025,2025-12-07 12:00:00,2025-12-07T12:00:00+00:00,Brest,BRE,Monaco,MON,,,,,False
29666,2025,2025-12-07 12:00:00,2025-12-07T12:00:00+00:00,Le Havre,LHV,Paris FC,PAR,,,,,False
29667,2025,2025-12-07 12:00:00,2025-12-07T12:00:00+00:00,Lille,LIL,Marseille,MAR,,,,,False
29668,2025,2025-12-07 12:00:00,2025-12-07T12:00:00+00:00,Lorient,LOR,Lyon,LYO,,,,,False
29669,2025,2025-12-07 12:00:00,2025-12-07T12:00:00+00:00,Nantes,NAN,Lens,LEN,,,,,False
29670,2025,2025-12-07 12:00:00,2025-12-07T12:00:00+00:00,Nice,NIC,Angers,ANG,,,,,False
29671,2025,2025-12-07 12:00:00,2025-12-07T12:00:00+00:00,Paris Saint Germain,PSG,Rennes,REN,,,,,False
29672,2025,2025-12-07 12:00:00,2025-12-07T12:00:00+00:00,Toulouse,TOU,Strasbourg,STR,,,,,False
29673,2025,2025-12-14 12:00:00,2025-12-14T12:00:00+00:00,Angers,ANG,Nantes,NAN,,,,,False
29674,2025,2025-12-14 12:00:00,2025-12-14T12:00:00+00:00,Auxerre,AUX,Lille,LIL,,,,,False
29675,2025,2025-12-14 12:00:00,2025-12-14T12:00:00+00:00,Lens,LEN,Nice,NIC,,,,,False
29676,2025,2025-12-14 12:00:00,2025-12-14T12:00:00+00:00,Paris FC,PAR,Toulouse,TOU,,,,,False
