team,final_elo,played,wins,draws,losses
Paris Saint Germain,1741.56,114,80,22,12
Marseille,1624.95,114,61,23,30
Lille,1616.51,114,56,32,26
Monaco,1607.38,114,61,24,29
Lyon,1591.56,114,56,19,39
Lens,1589.3,114,59,26,29
Nice,1580.59,114,50,34,30
Strasbourg,1578.96,114,40,32,42
Brest,1535.27,114,45,29,40
Toulouse,1516.65,114,39,29,46
Rennes,1502.0,114,48,22,44
Paris FC,1496.23,8,3,1,4
Auxerre,1462.13,80,21,21,38
Reims,1448.43,106,33,32,41
Nantes,1443.45,114,25,36,53
Saint-Etienne,1440.93,34,8,6,20
Clermont Foot,1440.04,72,22,18,32
Lorient,1435.45,80,24,20,36
Le Havre,1432.21,76,18,18,40
Angers,1406.03,80,15,15,50
Metz,1390.77,42,8,7,27
Ajaccio,1379.43,38,7,5,26
Troyes,1374.52,38,4,12,22
Montpellier,1365.63,106,29,21,56
