team,final_elo,played,wins,draws,losses
Paris Saint Germain,1650.05,118,83,23,12
Marseille,1592.66,118,63,24,31
Lens,1568.75,118,62,26,30
Strasbourg,1548.25,118,42,32,44
Lille,1546.29,118,58,32,28
Lyon,1540.87,118,57,21,40
Monaco,1536.33,118,63,24,31
Nice,1533.96,118,52,34,32
Rennes,1522.03,118,50,23,45
Toulouse,1500.06,118,39,32,47
Troyes,1492.56,38,4,12,22
Ajaccio,1491.26,38,7,5,26
Paris FC,1487.95,12,4,2,6
Clermont Foot,1482.14,72,22,18,32
Brest,1473.32,118,45,30,43
Reims,1466.58,106,33,32,41
Angers,1462.2,84,17,16,51
Le Havre,1459.23,80,20,20,40
Metz,1457.22,46,11,7,28
Saint-Etienne,1456.33,34,8,6,20
Lorient,1450.18,84,24,22,38
Nantes,1440.55,118,26,37,55
Auxerre,1435.44,84,21,21,42
Montpellier,1405.81,106,29,21,56
