feature,mean_abs_shap
market_logit_home,0.13205763366311765
forecast_away_win,0.1309160542426806
market_home_edge,0.12324804173747865
forecast_draw,0.08072441166192165
elo_mean_pre,0.0791099408821565
market_entropy,0.0603233666547322
elo_home_pre,0.05470595813645501
elo_gap_pre,0.050275663316062945
market_max_prob,0.043643945167270576
match_day_index,0.03530690047340596
prob_edge,0.03480594579309691
match_day_of_year_norm,0.0259271410499376
forecast_home_win,0.025395811655120143
elo_away_pre,0.024458993713412865
elo_home_expectation,0.023683359361976748
market_vs_elo_edge,0.013805371271614492
match_weekday_index,0.008557094663146811
elo_expectation_gap,0.008409906553871568
