Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Napoli,10,7,1,2,16,8,22,16.74,14.45,12.68,9.62,4.83,10.01,15.08,68,29,16.43
Inter,10,7,0,3,24,12,21,24.08,22.56,9.19,7.66,14.9,8.94,17.01,115,36,21.79
AC Milan,10,6,3,1,15,7,21,17.97,16.44,9.58,7.3,9.15,17.08,15.26,84,46,20.09
Roma,10,7,0,3,10,5,21,14.74,13.98,11.9,11.9,2.08,7.34,13.92,74,37,16.17
Juventus,11,5,4,2,14,10,19,18.01,16.49,10.74,9.22,7.27,9.04,15.85,74,36,19.44
Bologna,10,5,3,2,16,8,18,15.13,13.6,11.73,10.21,3.4,8.08,11.53,54,41,15.2
Como,11,4,6,1,12,6,18,13.9,13.13,12.6,12.6,0.53,6.45,11.94,50,53,16.29
Lazio,10,4,3,3,13,7,15,13.06,12.3,13.88,13.88,-1.58,13.91,9.89,35,61,11.55
Udinese,10,4,3,3,12,15,15,12.25,11.49,13.73,12.21,-0.72,11.25,10.87,50,43,13.03
Cremonese,11,3,5,3,12,13,14,11.03,10.27,20.3,19.54,-9.26,13.63,10.04,28,92,9.82
Torino,11,3,5,3,10,16,14,12.98,12.1,17.27,14.99,-2.88,16.17,10.54,53,68,12.05
Atalanta,10,2,7,1,13,8,13,15.73,15.73,8.95,8.07,7.66,12.2,14.07,92,39,18.28
Sassuolo,10,4,1,5,11,12,13,11.49,9.78,16.68,15.91,-6.13,13.16,10.15,47,57,11.03
Cagliari,11,2,4,5,9,14,10,11.56,10.79,18.68,18.68,-7.89,13.25,9.04,38,61,11.14
Lecce,11,2,4,5,8,14,10,9.37,8.61,15.51,13.98,-5.37,11.21,8.14,35,79,10.51
Pisa,11,1,6,4,8,14,9,12.03,9.74,17.2,17.2,-7.45,13.14,8.06,43,99,12.4
Parma Calcio 1913,10,1,4,5,5,12,7,10.38,9.62,14.44,13.68,-4.06,11.54,8.88,34,64,12.46
Genoa,10,1,3,6,6,14,6,14.04,13.28,15.64,14.88,-1.6,9.15,8.56,40,39,12.59
Verona,11,0,6,5,6,16,6,13.57,12.81,13.32,12.38,0.43,13.03,8.19,49,60,16.36
Fiorentina,10,0,4,6,7,16,4,13.08,11.56,17.12,14.84,-3.28,9.95,9.5,36,59,10.74
