team,final_elo,played,wins,draws,losses
Inter,1627.19,125,84,19,22
Napoli,1584.99,125,72,31,22
Roma,1584.87,125,64,27,34
AC Milan,1580.99,125,66,32,27
Bologna,1572.09,125,54,43,28
Juventus,1559.03,125,64,40,21
Atalanta,1544.78,125,64,28,33
Lazio,1539.54,125,62,29,34
Como,1537.19,49,17,16,16
Sassuolo,1498.91,87,24,19,44
Spezia,1494.1,38,6,13,19
Cremonese,1492.8,49,8,17,24
Sampdoria,1491.53,38,3,10,25
Torino,1490.42,125,40,44,41
Frosinone,1486.75,38,8,11,19
Pisa,1482.79,11,1,6,4
Fiorentina,1482.25,125,51,33,41
Salernitana,1470.51,76,11,26,39
Venezia,1459.75,38,5,14,19
Udinese,1458.41,125,33,43,49
Parma Calcio 1913,1451.63,49,8,20,21
Cagliari,1448.69,87,19,25,43
Empoli,1446.95,114,25,35,54
Genoa,1444.93,87,23,30,34
Lecce,1433.79,125,26,40,59
Verona,1421.5,125,26,34,65
Monza,1413.63,114,28,31,55
