match_id,season,date_str,date_parsed,home_team,home_short,away_team,away_short,home_goals,away_goals,home_xg,away_xg,is_result
29955,2025,2025-11-22 14:00:00,2025-11-22T14:00:00+00:00,Cagliari,CAG,Genoa,GEN,,,,,False
29963,2025,2025-11-22 14:00:00,2025-11-22T14:00:00+00:00,Udinese,UDI,Bologna,BOL,,,,,False
29957,2025,2025-11-22 17:00:00,2025-11-22T17:00:00+00:00,Fiorentina,FIO,Juventus,JUV,,,,,False
29960,2025,2025-11-22 19:45:00,2025-11-22T19:45:00+00:00,Napoli,NAP,Atalanta,ATA,,,,,False
29954,2025,2025-11-23 11:30:00,2025-11-23T11:30:00+00:00,Verona,VER,Parma Calcio 1913,PAR,,,,,False
29956,2025,2025-11-23 14:00:00,2025-11-23T14:00:00+00:00,Cremonese,CRE,Roma,ROM,,,,,False
29959,2025,2025-11-23 17:00:00,2025-11-23T17:00:00+00:00,Lazio,LAZ,Lecce,LEC,,,,,False
29958,2025,2025-11-23 19:45:00,2025-11-23T19:45:00+00:00,Inter,INT,AC Milan,MIL,,,,,False
29962,2025,2025-11-24 17:30:00,2025-11-24T17:30:00+00:00,Torino,TOR,Como,COM,,,,,False
29961,2025,2025-11-24 19:45:00,2025-11-24T19:45:00+00:00,Sassuolo,SAS,Pisa,PIS,,,,,False
29966,2025,2025-11-28 19:45:00,2025-11-28T19:45:00+00:00,Como,COM,Sassuolo,SAS,,,,,False
29967,2025,2025-11-29 14:00:00,2025-11-29T14:00:00+00:00,Genoa,GEN,Verona,VER,,,,,False
29971,2025,2025-11-29 14:00:00,2025-11-29T14:00:00+00:00,Parma Calcio 1913,PAR,Udinese,UDI,,,,,False
29968,2025,2025-11-29 17:00:00,2025-11-29T17:00:00+00:00,Juventus,JUV,Cagliari,CAG,,,,,False
29970,2025,2025-11-29 19:45:00,2025-11-29T19:45:00+00:00,AC Milan,MIL,Lazio,LAZ,,,,,False
29969,2025,2025-11-30 11:30:00,2025-11-30T11:30:00+00:00,Lecce,LEC,Torino,TOR,,,,,False
29965,2025,2025-11-30 12:00:00,2025-11-30T12:00:00+00:00,Bologna,BOL,Cremonese,CRE,,,,,False
29972,2025,2025-11-30 14:00:00,2025-11-30T14:00:00+00:00,Pisa,PIS,Inter,INT,,,,,False
29964,2025,2025-11-30 17:00:00,2025-11-30T17:00:00+00:00,Atalanta,ATA,Fiorentina,FIO,,,,,False
