id,isResult,h,a,goals,xG,datetime,forecast
27362,True,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '2', 'a': '2'}","{'h': '2.31286', 'a': '2.00656'}",2024-08-17 16:30:00,"{'w': '0.4556', 'd': '0.2689', 'l': '0.2755'}"
27363,True,"{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '1', 'a': '1'}","{'h': '1.83796', 'a': '0.81313'}",2024-08-17 16:30:00,"{'w': '0.6549', 'd': '0.2172', 'l': '0.1279'}"
27364,True,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '271', 'title': 'Monza', 'short_title': 'MON'}","{'h': '0', 'a': '0'}","{'h': '0.578573', 'a': '0.327848'}",2024-08-17 18:45:00,"{'w': '0.3458', 'd': '0.4817', 'l': '0.1725'}"
27365,True,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '2', 'a': '2'}","{'h': '2.1004', 'a': '0.876602'}",2024-08-17 18:45:00,"{'w': '0.6938', 'd': '0.2176', 'l': '0.0886'}"
27366,True,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '3', 'a': '0'}","{'h': '1.80536', 'a': '0.975176'}",2024-08-18 16:30:00,"{'w': '0.6173', 'd': '0.2346', 'l': '0.1481'}"
27367,True,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '1', 'a': '1'}","{'h': '3.3102', 'a': '0.944621'}",2024-08-18 16:30:00,"{'w': '0.9134', 'd': '0.0709', 'l': '0.0157'}"
27368,True,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '0', 'a': '0'}","{'h': '1.30634', 'a': '1.29639'}",2024-08-18 18:45:00,"{'w': '0.3391', 'd': '0.2992', 'l': '0.3617'}"
27369,True,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'h': '3', 'a': '1'}","{'h': '2.33223', 'a': '0.789649'}",2024-08-18 18:45:00,"{'w': '0.7733', 'd': '0.1575', 'l': '0.0692'}"
27370,True,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '4'}","{'h': '1.88414', 'a': '2.45909'}",2024-08-19 16:30:00,"{'w': '0.2563', 'd': '0.2175', 'l': '0.5262'}"
27371,True,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '286', 'title': 'Como', 'short_title': 'COM'}","{'h': '3', 'a': '0'}","{'h': '1.30582', 'a': '0.171238'}",2024-08-19 18:45:00,"{'w': '0.7156', 'd': '0.2456', 'l': '0.0388'}"
27372,True,"{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '2', 'a': '1'}","{'h': '2.46266', 'a': '2.09812'}",2024-08-24 16:30:00,"{'w': '0.4745', 'd': '0.2412', 'l': '0.2843'}"
27373,True,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '2', 'a': '1'}","{'h': '1.11581', 'a': '1.68277'}",2024-08-24 16:30:00,"{'w': '0.2128', 'd': '0.2781', 'l': '0.5091'}"
27374,True,"{'id': '271', 'title': 'Monza', 'short_title': 'MON'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '0', 'a': '1'}","{'h': '0.401371', 'a': '0.660299'}",2024-08-24 18:45:00,"{'w': '0.1845', 'd': '0.4299', 'l': '0.3856'}"
27375,True,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'h': '2', 'a': '0'}","{'h': '2.48059', 'a': '0.335346'}",2024-08-24 18:45:00,"{'w': '0.9122', 'd': '0.0694', 'l': '0.0184'}"
27376,True,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'h': '0', 'a': '0'}","{'h': '0.660213', 'a': '1.01295'}",2024-08-25 16:30:00,"{'w': '0.2058', 'd': '0.3398', 'l': '0.4544'}"
27377,True,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '2', 'a': '1'}","{'h': '2.49919', 'a': '3.08667'}",2024-08-25 16:30:00,"{'w': '0.2702', 'd': '0.219', 'l': '0.5108'}"
27378,True,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '3', 'a': '0'}","{'h': '2.07052', 'a': '0.544518'}",2024-08-25 18:45:00,"{'w': '0.7787', 'd': '0.1655', 'l': '0.0558'}"
27379,True,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '1', 'a': '2'}","{'h': '2.04246', 'a': '3.0773'}",2024-08-25 18:45:00,"{'w': '0.1828', 'd': '0.1812', 'l': '0.636'}"
27380,True,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '286', 'title': 'Como', 'short_title': 'COM'}","{'h': '1', 'a': '1'}","{'h': '1.03532', 'a': '2.08973'}",2024-08-26 16:30:00,"{'w': '0.1186', 'd': '0.2118', 'l': '0.6696'}"
27381,True,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '0', 'a': '3'}","{'h': '0.878611', 'a': '1.36151'}",2024-08-26 18:45:00,"{'w': '0.1874', 'd': '0.3109', 'l': '0.5017'}"
27382,True,"{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '0', 'a': '1'}","{'h': '0.635612', 'a': '1.80895'}",2024-08-30 16:30:00,"{'w': '0.1', 'd': '0.206', 'l': '0.694'}"
27383,True,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '4', 'a': '0'}","{'h': '2.28876', 'a': '1.17772'}",2024-08-30 18:45:00,"{'w': '0.6664', 'd': '0.2092', 'l': '0.1244'}"
27384,True,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '1', 'a': '0'}","{'h': '2.34113', 'a': '2.09263'}",2024-08-31 16:30:00,"{'w': '0.4441', 'd': '0.2341', 'l': '0.3218'}"
27385,True,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '1', 'a': '1'}","{'h': '1.35876', 'a': '1.11428'}",2024-08-31 16:30:00,"{'w': '0.4057', 'd': '0.3354', 'l': '0.2589'}"
27386,True,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'h': '2', 'a': '1'}","{'h': '2.33511', 'a': '1.90229'}",2024-08-31 18:45:00,"{'w': '0.4639', 'd': '0.234', 'l': '0.3021'}"
27387,True,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '2', 'a': '2'}","{'h': '2.32967', 'a': '1.34242'}",2024-08-31 18:45:00,"{'w': '0.6475', 'd': '0.2132', 'l': '0.1393'}"
27388,True,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '271', 'title': 'Monza', 'short_title': 'MON'}","{'h': '2', 'a': '2'}","{'h': '2.41541', 'a': '0.489982'}",2024-09-01 16:30:00,"{'w': '0.8645', 'd': '0.1102', 'l': '0.0253'}"
27389,True,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '0', 'a': '2'}","{'h': '1.34735', 'a': '2.09653'}",2024-09-01 16:30:00,"{'w': '0.1811', 'd': '0.248', 'l': '0.5709'}"
27390,True,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '0', 'a': '0'}","{'h': '0.415282', 'a': '0.382591'}",2024-09-01 18:45:00,"{'w': '0.2508', 'd': '0.5223', 'l': '0.2269'}"
27391,True,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '286', 'title': 'Como', 'short_title': 'COM'}","{'h': '1', 'a': '0'}","{'h': '1.18455', 'a': '1.65728'}",2024-09-01 18:45:00,"{'w': '0.2293', 'd': '0.2945', 'l': '0.4762'}"
27397,True,"{'id': '286', 'title': 'Como', 'short_title': 'COM'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '2', 'a': '2'}","{'h': '1.45782', 'a': '1.15087'}",2024-09-14 13:00:00,"{'w': '0.4382', 'd': '0.2776', 'l': '0.2842'}"
27392,True,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '0', 'a': '0'}","{'h': '0.601249', 'a': '0.726024'}",2024-09-14 16:00:00,"{'w': '0.2754', 'd': '0.3959', 'l': '0.3287'}"
27398,True,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'h': '4', 'a': '0'}","{'h': '2.18898', 'a': '0.263269'}",2024-09-14 18:45:00,"{'w': '0.9173', 'd': '0.0707', 'l': '0.012'}"
