id,isResult,side,h,a,goals,xG,datetime,forecast,result
28218,True,a,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '1'}","{'h': '1.62983', 'a': '1.61762'}",2025-01-26 16:15:00,"{'w': 0.3864260647687381, 'd': 0.23232993094481463, 'l': 0.38124400380370965}",d
28219,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '3', 'a': '2'}","{'h': '3.61972', 'a': '1.83806'}",2025-02-02 19:45:00,"{'w': 0.7076554483860801, 'd': 0.13386039557192198, 'l': 0.15847783129927773}",l
28234,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '4', 'a': '0'}","{'h': '3.24979', 'a': '0.307882'}",2025-02-09 14:00:00,"{'w': 0.9189775916597754, 'd': 0.06500484825506436, 'l': 0.016015794024500252}",w
28239,True,a,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '4'}","{'h': '1.33893', 'a': '1.59077'}",2025-02-16 14:00:00,"{'w': 0.32207993400961815, 'd': 0.24417509093558695, 'l': 0.43374497485459357}",w
28254,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '2', 'a': '3'}","{'h': '1.76184', 'a': '2.74583'}",2025-02-23 19:45:00,"{'w': 0.23730594443401234, 'd': 0.17634000148911322, 'l': 0.5863538285381716}",l
28257,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '2', 'a': '1'}","{'h': '1.54474', 'a': '1.89282'}",2025-03-02 14:00:00,"{'w': 0.3174580254871493, 'd': 0.22174245536980047, 'l': 0.46079951714811396}",w
28268,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '2'}","{'h': '1.50591', 'a': '0.78019'}",2025-03-09 19:45:00,"{'w': 0.5448919130696159, 'd': 0.26112029161160843, 'l': 0.19398779523184337}",w
28277,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'h': '4', 'a': '2'}","{'h': '3.58655', 'a': '1.56105'}",2025-03-16 14:00:00,"{'w': 0.7499735232280599, 'd': 0.12478449372327681, 'l': 0.12523630387965287}",w
28285,True,a,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '4', 'a': '2'}","{'h': '1.77552', 'a': '2.87161'}",2025-03-28 19:45:00,"{'w': 0.22447948572992998, 'd': 0.1700093043522286, 'l': 0.6055108173706162}",l
28295,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '2', 'a': '1'}","{'h': '1.75398', 'a': '0.656931'}",2025-04-05 19:05:00,"{'w': 0.6383255520307757, 'd': 0.22701326313970363, 'l': 0.13466118415004089}",w
28302,True,a,"{'id': '275', 'title': 'Auxerre', 'short_title': 'AUX'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '3'}","{'h': '1.00397', 'a': '3.11801'}",2025-04-13 18:45:00,"{'w': 0.08713481874867383, 'd': 0.12356835017160663, 'l': 0.7892957589355046}",w
28309,True,a,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '2', 'a': '1'}","{'h': '1.74645', 'a': '0.632299'}",2025-04-20 18:45:00,"{'w': 0.6432237161479761, 'd': 0.2269624164416785, 'l': 0.12981386676884993}",l
28326,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '4', 'a': '1'}","{'h': '2.25879', 'a': '0.781584'}",2025-04-26 19:05:00,"{'w': 0.7083265130341239, 'd': 0.17766814881850035, 'l': 0.11400531926358247}",w
28330,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'h': '1', 'a': '2'}","{'h': '1.1801', 'a': '0.952824'}",2025-05-04 15:15:00,"{'w': 0.4107120158302652, 'd': 0.29420038547883137, 'l': 0.29508759868771134}",l
28344,True,a,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '2', 'a': '0'}","{'h': '1.48659', 'a': '0.390411'}",2025-05-10 19:00:00,"{'w': 0.6495012464312205, 'd': 0.25562508834791736, 'l': 0.09487366514794338}",l
28348,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '2', 'a': '0'}","{'h': '3.75818', 'a': '0.556633'}",2025-05-17 19:00:00,"{'w': 0.9170063687704891, 'd': 0.059846013752305624, 'l': 0.023137844051280054}",w
