feature,baseline_accuracy,baseline_logloss,loo_accuracy,loo_logloss,accuracy_drop,logloss_increase,mean_abs_shap,shap_rank,accuracy_drop_rank
elo_gap_pre,0.46,1.0405405759811401,0.4266666666666667,1.0796719789505005,0.033333333333333326,0.03913140296936035,0.1902817020843193,1.0,1.0
elo_mean_pre,0.46,1.0405405759811401,0.4866666666666667,1.0505564212799072,-0.026666666666666672,0.01001584529876709,0.10737999735822282,2.0,9.0
xg_def_gap_avg5,0.46,1.0405405759811401,0.44,1.054267168045044,0.020000000000000018,0.013726592063903809,0.07430134315279102,3.0,2.0
xg_att_gap_avg5,0.46,1.0405405759811401,0.46,1.04816734790802,0.0,0.007626771926879883,0.06189253445367796,4.0,5.0
shot_suppress_gap_avg5,0.46,1.0405405759811401,0.4866666666666667,1.033284068107605,-0.026666666666666672,-0.007256507873535156,0.05449257726242324,5.0,9.0
shot_vol_gap_avg5,0.46,1.0405405759811401,0.44666666666666666,1.0621631145477295,0.013333333333333364,0.021622538566589355,0.05311094058357797,6.0,3.0
att_gap_avg5,0.46,1.0405405759811401,0.46,1.0457055568695068,0.0,0.005164980888366699,0.052362301929139834,7.0,5.0
elo_home_pre,0.46,1.0405405759811401,0.5266666666666666,1.0216825008392334,-0.0666666666666666,-0.01885807514190674,0.042081516913201715,8.0,11.0
def_gap_avg5,0.46,1.0405405759811401,0.49333333333333335,1.0419307947158813,-0.033333333333333326,0.001390218734741211,0.041608966779800693,9.0,10.0
points_gap_avg5,0.46,1.0405405759811401,0.4866666666666667,1.029360055923462,-0.026666666666666672,-0.011180520057678223,0.040026055129154366,10.0,9.0
home_shots_allowed_avg5,0.46,1.0405405759811401,0.48,1.0459842681884766,-0.019999999999999962,0.005443692207336426,0.0391755701324049,11.0,8.0
elo_away_pre,0.46,1.0405405759811401,0.48,1.0392974615097046,-0.019999999999999962,-0.0012431144714355469,0.03483611110786183,12.0,8.0
away_shots_for_avg5,0.46,1.0405405759811401,0.4533333333333333,1.0342698097229004,0.00666666666666671,-0.006270766258239746,0.031333738148393527,13.0,4.0
away_shots_allowed_avg5,0.46,1.0405405759811401,0.46,1.030542254447937,0.0,-0.009998321533203125,0.03087282885707295,14.0,5.0
elo_home_expectation,0.46,1.0405405759811401,0.4866666666666667,1.0387760400772095,-0.026666666666666672,-0.001764535903930664,0.02949396092505194,15.0,9.0
away_goals_for_avg5,0.46,1.0405405759811401,0.4666666666666667,1.039142370223999,-0.006666666666666654,-0.0013982057571411133,0.028867649842462415,16.0,6.0
shots_tempo_avg5,0.46,1.0405405759811401,0.44666666666666666,1.0417094230651855,0.013333333333333364,0.0011688470840454102,0.02560670082519516,17.0,3.0
home_shots_for_avg5,0.46,1.0405405759811401,0.4666666666666667,1.0483347177505493,-0.006666666666666654,0.00779414176940918,0.024974427166491245,18.0,6.0
log_shot_ratio_avg5,0.46,1.0405405759811401,0.47333333333333333,1.046928882598877,-0.013333333333333308,0.006388306617736816,0.021733309660000817,19.0,7.0
home_goals_against_avg5,0.46,1.0405405759811401,0.46,1.0396555662155151,0.0,-0.000885009765625,0.019412029935162153,20.0,5.0
away_goals_against_avg5,0.46,1.0405405759811401,0.4533333333333333,1.0332454442977905,0.00666666666666671,-0.007295131683349609,0.01907960944882686,21.0,4.0
log_xg_ratio_avg5,0.46,1.0405405759811401,0.4666666666666667,1.0396095514297485,-0.006666666666666654,-0.0009310245513916016,0.017784889424180925,22.0,6.0
home_goals_for_avg5,0.46,1.0405405759811401,0.44666666666666666,1.0380536317825317,0.013333333333333364,-0.0024869441986083984,0.011448063416654863,23.0,3.0
home_recent_games_frac,0.46,1.0405405759811401,0.46,1.0404504537582397,0.0,-9.012222290039062e-05,0.006883850354282187,24.0,5.0
away_recent_games_frac,0.46,1.0405405759811401,0.46,1.0385574102401733,0.0,-0.001983165740966797,0.0033773169462051663,25.0,5.0
elo_expectation_gap,0.46,1.0405405759811401,0.46,1.0405405759811401,0.0,0.0,0.0,26.0,5.0
