feature,class_label,mean_abs_shap
home_recent_games_frac,Home Win,0.005911557725258171
away_recent_games_frac,Home Win,0.005860784763097763
home_shots_for_avg5,Home Win,0.03811605727415687
home_shots_allowed_avg5,Home Win,0.047934585927372486
away_shots_for_avg5,Home Win,0.011998649464004365
away_shots_allowed_avg5,Home Win,0.03968954743579962
shot_vol_gap_avg5,Home Win,0.08881701068108283
shot_suppress_gap_avg5,Home Win,0.04279785588168693
log_shot_ratio_avg5,Home Win,0.035115874809026705
shots_tempo_avg5,Home Win,0.015944886869952702
att_gap_avg5,Home Win,0.023767463706728685
def_gap_avg5,Home Win,0.02601122656299656
points_gap_avg5,Home Win,0.05982578906517007
xg_att_gap_avg5,Home Win,0.04815118341029156
xg_def_gap_avg5,Home Win,0.08344375349199401
log_xg_ratio_avg5,Home Win,0.025327018061078458
home_goals_for_avg5,Home Win,0.021459055666501338
home_goals_against_avg5,Home Win,0.029929407118105635
away_goals_for_avg5,Home Win,0.04107505121176751
away_goals_against_avg5,Home Win,0.026167163757845984
elo_home_pre,Home Win,0.030116561580928576
elo_away_pre,Home Win,0.045673062351159754
elo_mean_pre,Home Win,0.04284712979122996
elo_gap_pre,Home Win,0.27236264877859506
elo_home_expectation,Home Win,0.02167613050642736
elo_expectation_gap,Home Win,0.0
home_recent_games_frac,Draw,0.0005746362892289962
away_recent_games_frac,Draw,0.0
home_shots_for_avg5,Draw,0.011693447042380777
home_shots_allowed_avg5,Draw,0.00820426861221592
away_shots_for_avg5,Draw,0.07125687271148588
away_shots_allowed_avg5,Draw,0.027940924251793575
shot_vol_gap_avg5,Draw,0.015520391089655462
shot_suppress_gap_avg5,Draw,0.030407777245808395
log_shot_ratio_avg5,Draw,0.011588777117058642
shots_tempo_avg5,Draw,0.04191656226317088
att_gap_avg5,Draw,0.10964948366369744
def_gap_avg5,Draw,0.05255678940685468
points_gap_avg5,Draw,0.01338887696843595
xg_att_gap_avg5,Draw,0.027233052815124382
xg_def_gap_avg5,Draw,0.057998854604549746
log_xg_ratio_avg5,Draw,0.009264001791675885
home_goals_for_avg5,Draw,0.004134915515904618
home_goals_against_avg5,Draw,0.007743567978082377
away_goals_for_avg5,Draw,0.03316944609362012
away_goals_against_avg5,Draw,0.006593629981080693
elo_home_pre,Draw,0.020690234195148045
elo_away_pre,Draw,0.014189775485312564
elo_mean_pre,Draw,0.22860224713254704
elo_gap_pre,Draw,0.027277006160654132
elo_home_expectation,Draw,0.0
elo_expectation_gap,Draw,0.0
home_recent_games_frac,Away Win,0.014165357048359386
away_recent_games_frac,Away Win,0.004271166075517734
home_shots_for_avg5,Away Win,0.02511377718293613
home_shots_allowed_avg5,Away Win,0.06138785585762625
away_shots_for_avg5,Away Win,0.010745692269690334
away_shots_allowed_avg5,Away Win,0.024988014883625623
shot_vol_gap_avg5,Away Win,0.05499541997999573
shot_suppress_gap_avg5,Away Win,0.09027209865977445
log_shot_ratio_avg5,Away Win,0.01849527705391713
shots_tempo_avg5,Away Win,0.018958653342461905
att_gap_avg5,Away Win,0.023669958416993413
def_gap_avg5,Away Win,0.04625888436955092
points_gap_avg5,Away Win,0.046863499353857085
xg_att_gap_avg5,Away Win,0.1102933671356179
xg_def_gap_avg5,Away Win,0.0814614213618295
log_xg_ratio_avg5,Away Win,0.018763648419788424
home_goals_for_avg5,Away Win,0.008750219067558648
home_goals_against_avg5,Away Win,0.020563114709298443
away_goals_for_avg5,Away Win,0.012358452221999564
away_goals_against_avg5,Away Win,0.024478034607553857
elo_home_pre,Away Win,0.07543775496352854
elo_away_pre,Away Win,0.044645495487113177
elo_mean_pre,Away Win,0.050690615150891245
elo_gap_pre,Away Win,0.27120545131370893
elo_home_expectation,Away Win,0.06680575226872851
elo_expectation_gap,Away Win,0.0
