feature,mean_abs_shap
elo_gap_pre,0.1902817020843193
elo_mean_pre,0.10737999735822282
xg_def_gap_avg5,0.07430134315279102
xg_att_gap_avg5,0.06189253445367796
shot_suppress_gap_avg5,0.05449257726242324
shot_vol_gap_avg5,0.05311094058357797
att_gap_avg5,0.052362301929139834
elo_home_pre,0.042081516913201715
def_gap_avg5,0.041608966779800693
points_gap_avg5,0.040026055129154366
home_shots_allowed_avg5,0.0391755701324049
elo_away_pre,0.03483611110786183
away_shots_for_avg5,0.031333738148393527
away_shots_allowed_avg5,0.03087282885707295
elo_home_expectation,0.02949396092505194
away_goals_for_avg5,0.028867649842462415
shots_tempo_avg5,0.02560670082519516
home_shots_for_avg5,0.024974427166491245
log_shot_ratio_avg5,0.021733309660000817
home_goals_against_avg5,0.019412029935162153
away_goals_against_avg5,0.01907960944882686
log_xg_ratio_avg5,0.017784889424180925
home_goals_for_avg5,0.011448063416654863
home_recent_games_frac,0.006883850354282187
away_recent_games_frac,0.0033773169462051663
elo_expectation_gap,0.0
