feature,mean_abs_shap
market_home_edge,0.14419308020990826
forecast_away_win,0.1401495006940812
market_logit_home,0.11418845465319723
forecast_draw,0.0844938378894087
elo_mean_pre,0.08249717863906662
market_entropy,0.06525247801713341
elo_gap_pre,0.05904110483471951
elo_home_pre,0.05397040477981274
match_day_index,0.04187010140102618
prob_edge,0.038306189870560135
market_max_prob,0.031887616640849346
elo_away_pre,0.03057132891735269
forecast_home_win,0.026231184966224504
elo_home_expectation,0.02483737581807267
match_day_of_year_norm,0.023431338509433495
market_vs_elo_edge,0.02037543029638603
elo_expectation_gap,0.013213574937578383
match_weekday_index,0.007910516654993665
