feature,Dataset_Version_1,Dataset_Version_2,Dataset_Version_3,Dataset_Version_5,Dataset_Version_6,Dataset_Version_7
att_gap_avg5,0.0179191457992212,0.0179191457992212,0.0179191457992212,0.0179191457992212,0.0365596209955246,0.0179191457992212
away_goal_diff_exp_decay,0.0279771456128865,0.0279771456128865,0.0279771456128865,0.0279771456128865,,0.0279771456128865
away_goal_diff_std5,0.018191308154145,0.018191308154145,0.018191308154145,0.018191308154145,,0.018191308154145
away_goals_against_avg5,0.0101786214158184,0.0101786214158184,0.0101786214158184,0.0101786214158184,0.0165467507631362,0.0101786214158184
away_goals_for_avg5,0.0162834837183563,0.0162834837183563,0.0162834837183563,0.0162834837183563,0.0331077171916814,0.0162834837183563
away_recent_games_frac,0.0008239278079941,0.0008239278079941,0.0008239278079941,0.0008239278079941,0.0008236189991546,0.0008239278079941
away_shot_diff_exp_decay,0.0202529221041386,0.0202529221041386,0.0202529221041386,0.0202529221041386,,0.0202529221041386
away_shot_diff_std5,0.0064245254076603,0.0064245254076603,0.0064245254076603,0.0064245254076603,,0.0064245254076603
away_shots_allowed_avg5,0.0142714165237421,0.0142714165237421,0.0142714165237421,0.0142714165237421,,0.0142714165237421
away_shots_for_avg5,0.0044510708212179,0.0044510708212179,0.0044510708212179,0.0044510708212179,,0.0044510708212179
away_xg_diff_exp_decay,0.009746308629758,0.009746308629758,0.009746308629758,0.009746308629758,,0.009746308629758
away_xg_diff_std5,0.0174038809492485,0.0174038809492485,0.0174038809492485,0.0174038809492485,,0.0174038809492485
def_gap_avg5,0.0304386599519134,0.0304386599519134,0.0304386599519134,0.0304386599519134,0.0422339931417981,0.0304386599519134
elo_away_pre,0.030869811808292,0.030869811808292,0.030869811808292,0.030869811808292,0.0366944313919171,0.030869811808292
elo_expectation_gap,0.0,0.0,0.0,0.0,0.0,0.0
elo_gap_pre,0.1219217885665389,0.1219217885665389,0.1219217885665389,0.1219217885665389,0.1361263562483248,0.1219217885665389
elo_home_expectation,0.028211818305672,0.028211818305672,0.028211818305672,0.028211818305672,0.0204653292991945,0.028211818305672
elo_home_pre,0.0303672454163425,0.0303672454163425,0.0303672454163425,0.0303672454163425,0.0589152559882909,0.0303672454163425
elo_mean_pre,0.0676743102215903,0.0676743102215903,0.0676743102215903,0.0676743102215903,0.0834767534368581,0.0676743102215903
goal_diff_exp_decay_gap,0.0155380694142387,0.0155380694142387,0.0155380694142387,0.0155380694142387,,0.0155380694142387
goal_diff_std_gap5,0.0083599373213636,0.0083599373213636,0.0083599373213636,0.0083599373213636,,0.0083599373213636
home_goal_diff_exp_decay,0.0143017838056897,0.0143017838056897,0.0143017838056897,0.0143017838056897,,0.0143017838056897
home_goal_diff_std5,0.0251172687537036,0.0251172687537036,0.0251172687537036,0.0251172687537036,,0.0251172687537036
home_goals_against_avg5,0.0167218591579546,0.0167218591579546,0.0167218591579546,0.0167218591579546,0.0210281813605817,0.0167218591579546
home_goals_for_avg5,0.0079536987630339,0.0079536987630339,0.0079536987630339,0.0079536987630339,0.0184595430457964,0.0079536987630339
home_recent_games_frac,0.0070241422299709,0.0070241422299709,0.0070241422299709,0.0070241422299709,0.0,0.0070241422299709
home_shot_diff_exp_decay,0.0326434420831242,0.0326434420831242,0.0326434420831242,0.0326434420831242,,0.0326434420831242
home_shot_diff_std5,0.0197333899489189,0.0197333899489189,0.0197333899489189,0.0197333899489189,,0.0197333899489189
home_shots_allowed_avg5,0.0151540431008732,0.0151540431008732,0.0151540431008732,0.0151540431008732,,0.0151540431008732
home_shots_for_avg5,0.0139287202187904,0.0139287202187904,0.0139287202187904,0.0139287202187904,,0.0139287202187904
home_xg_diff_exp_decay,0.0118183088601101,0.0118183088601101,0.0118183088601101,0.0118183088601101,,0.0118183088601101
home_xg_diff_std5,0.0113386738920286,0.0113386738920286,0.0113386738920286,0.0113386738920286,,0.0113386738920286
log_shot_ratio_avg5,0.0247161832484571,0.0247161832484571,0.0247161832484571,0.0247161832484571,0.0,0.0247161832484571
log_xg_ratio_avg5,0.0084544394870431,0.0084544394870431,0.0084544394870431,0.0084544394870431,0.0163455762864194,0.0084544394870431
points_gap_avg5,0.0196248595464205,0.0196248595464205,0.0196248595464205,0.0196248595464205,0.023935465905924,0.0196248595464205
shot_diff_exp_decay_gap,0.0433556712169639,0.0433556712169639,0.0433556712169639,0.0433556712169639,,0.0433556712169639
shot_diff_std_gap5,0.0069372148423352,0.0069372148423352,0.0069372148423352,0.0069372148423352,,0.0069372148423352
shot_suppress_gap_avg5,0.0321879103925234,0.0321879103925234,0.0321879103925234,0.0321879103925234,,0.0321879103925234
shot_vol_gap_avg5,0.0271346446339299,0.0271346446339299,0.0271346446339299,0.0271346446339299,,0.0271346446339299
shots_tempo_avg5,0.0280453974557626,0.0280453974557626,0.0280453974557626,0.0280453974557626,,0.0280453974557626
xg_att_gap_avg5,0.0568665845659251,0.0568665845659251,0.0568665845659251,0.0568665845659251,0.0543025941238066,0.0568665845659251
xg_def_gap_avg5,0.0439737541905762,0.0439737541905762,0.0439737541905762,0.0439737541905762,0.0645541928932718,0.0439737541905762
xg_diff_exp_decay_gap,0.041192158446849,0.041192158446849,0.041192158446849,0.041192158446849,,0.041192158446849
xg_diff_std_gap5,0.0260062635284641,0.0260062635284641,0.0260062635284641,0.0260062635284641,,0.0260062635284641
