match_id,season,match_date,home_team,away_team,true_label,perf_pred_class,perf_p_home,perf_p_draw,perf_p_away,mkt_pred_class,mkt_p_home,mkt_p_draw,mkt_p_away,fin_pred_class,fin_p_home,fin_p_draw,fin_p_away
28865,2025,2025-10-25,Manchester United,Brighton,0,2,0.20495005,0.17454366,0.6205063,0,0.5310296,0.17060123,0.29836917,0,0.45203072,0.23797528,0.309994
28862,2025,2025-10-25,Chelsea,Sunderland,2,0,0.62662494,0.20750013,0.1658749,2,0.32093796,0.30083984,0.37822223,0,0.5183664,0.21377066,0.26786295
28866,2025,2025-10-25,Newcastle United,Fulham,0,0,0.5863023,0.123497054,0.29020068,0,0.6504219,0.18814208,0.161436,0,0.52981216,0.26316836,0.20701951
28859,2025,2025-10-26,Arsenal,Crystal Palace,0,0,0.45712766,0.15640463,0.38646767,0,0.46332785,0.36163875,0.17503335,0,0.5457297,0.26459244,0.18967788
28858,2025,2025-10-26,Bournemouth,Nottingham Forest,0,1,0.38860828,0.40727314,0.20411861,0,0.5030526,0.27006143,0.22688596,1,0.27940995,0.44596633,0.2746237
28867,2025,2025-10-26,Wolverhampton Wanderers,Burnley,2,0,0.40478614,0.21610951,0.37910435,2,0.39656147,0.20071846,0.4027201,2,0.33317512,0.2779983,0.3888266
28860,2025,2025-10-26,Aston Villa,Manchester City,0,1,0.17067993,0.5330537,0.29626644,1,0.15659572,0.529333,0.31407127,2,0.32775727,0.2061189,0.4661238
28863,2025,2025-10-26,Everton,Tottenham,2,0,0.5684027,0.22088508,0.21071224,2,0.22301155,0.31204948,0.46493894,0,0.343559,0.31424478,0.34219626
28872,2025,2025-11-01,Liverpool,Aston Villa,0,0,0.4437466,0.26606482,0.29018858,0,0.61054456,0.27303588,0.1164196,0,0.63037,0.18915372,0.18047625
28876,2025,2025-11-01,Tottenham,Chelsea,2,0,0.4386682,0.27821568,0.28311616,2,0.09309308,0.20661466,0.7002923,1,0.36535773,0.40385637,0.23078589
28874,2025,2025-11-01,Nottingham Forest,Manchester United,1,2,0.15412277,0.15403576,0.6918415,2,0.31746882,0.2609717,0.42155954,0,0.5478109,0.19634189,0.25584725
28869,2025,2025-11-01,Burnley,Arsenal,2,1,0.21183218,0.5482804,0.23988745,2,0.069730744,0.19457224,0.73569703,2,0.18079293,0.18662165,0.63258547
28870,2025,2025-11-01,Crystal Palace,Brentford,0,0,0.604079,0.22935124,0.16656975,0,0.4636543,0.25046512,0.2858806,0,0.34860218,0.31489614,0.33650163
28868,2025,2025-11-01,Brighton,Leeds,0,0,0.47059503,0.2890116,0.24039339,0,0.8619949,0.09309101,0.044914104,0,0.4309541,0.2932049,0.27584103
28871,2025,2025-11-01,Fulham,Wolverhampton Wanderers,0,0,0.527919,0.1692651,0.3028159,0,0.79374725,0.13012584,0.076126896,0,0.5363866,0.23396134,0.22965203
28877,2025,2025-11-02,West Ham,Newcastle United,0,2,0.15208846,0.13950953,0.708402,0,0.38999334,0.2670769,0.34292972,1,0.24568531,0.48241976,0.27189496
28873,2025,2025-11-02,Manchester City,Bournemouth,0,0,0.49662888,0.2289665,0.27440467,0,0.7597501,0.17859308,0.06165674,0,0.51358324,0.29796812,0.18844865
28875,2025,2025-11-03,Sunderland,Everton,1,0,0.67203546,0.1468954,0.18106918,0,0.4516866,0.31601125,0.2323021,2,0.29419833,0.31836128,0.38744038
28886,2025,2025-11-08,Tottenham,Manchester United,1,0,0.619383,0.13928394,0.24133308,0,0.5677354,0.23045082,0.20181385,0,0.50963414,0.27952218,0.21084367
28882,2025,2025-11-08,Everton,Fulham,0,0,0.49878958,0.20960866,0.2916018,0,0.76321423,0.18023613,0.056549616,0,0.38366112,0.33228675,0.28405207
28887,2025,2025-11-08,West Ham,Burnley,0,0,0.39190063,0.22078796,0.38731137,0,0.4341019,0.18691993,0.37897816,0,0.5695447,0.23424312,0.19621222
28885,2025,2025-11-08,Sunderland,Arsenal,1,1,0.19686684,0.5920896,0.21104357,2,0.15420088,0.35259897,0.49320018,2,0.1865687,0.16368638,0.64974487
28880,2025,2025-11-08,Chelsea,Wolverhampton Wanderers,0,0,0.505962,0.23682909,0.25720894,0,0.89307195,0.06475253,0.04217547,0,0.6193724,0.18270345,0.1979241
28884,2025,2025-11-09,Nottingham Forest,Leeds,0,2,0.3303664,0.20218438,0.46744922,0,0.74578696,0.12494705,0.12926601,0,0.57820725,0.22935551,0.19243726
28878,2025,2025-11-09,Aston Villa,Bournemouth,0,0,0.5231811,0.21808568,0.25873324,0,0.4061488,0.24441084,0.34944034,0,0.60597634,0.1948354,0.19918823
28879,2025,2025-11-09,Brentford,Newcastle United,0,0,0.4822676,0.28024736,0.23748508,0,0.77875525,0.14508776,0.07615705,2,0.20085165,0.21642531,0.582723
28881,2025,2025-11-09,Crystal Palace,Brighton,1,0,0.4745596,0.33385038,0.19159,0,0.46377605,0.35253572,0.1836882,1,0.30307585,0.44844237,0.24848182
28883,2025,2025-11-09,Manchester City,Liverpool,0,0,0.55497307,0.23246284,0.21256413,0,0.47632363,0.35313836,0.17053802,0,0.38788992,0.29483587,0.31727424
