match_id,season,match_date,home_team,away_team,true_label,perf_pred_class,perf_p_home,perf_p_draw,perf_p_away,mkt_pred_class,mkt_p_home,mkt_p_draw,mkt_p_away,fin_pred_class,fin_p_home,fin_p_draw,fin_p_away
28832,2025,2025-09-27,Leeds,Bournemouth,1,2,0.2516385,0.2923803,0.45598122,0,0.5382777,0.1885222,0.27320006,0,0.4636128,0.27497694,0.2614103
28835,2025,2025-09-27,Tottenham,Wolverhampton Wanderers,1,0,0.48961952,0.2777293,0.23265116,2,0.20356591,0.21110722,0.58532685,0,0.61986804,0.19273499,0.18739697
28834,2025,2025-09-27,Nottingham Forest,Sunderland,2,2,0.34271914,0.28962618,0.36765465,2,0.16722521,0.34880075,0.48397398,0,0.58713347,0.21577638,0.19709015
28833,2025,2025-09-27,Manchester City,Burnley,0,0,0.6633497,0.15792136,0.17872894,0,0.8648143,0.0914623,0.043723416,0,0.5528943,0.18978158,0.2573241
28829,2025,2025-09-27,Chelsea,Brighton,2,0,0.5007222,0.18795905,0.31131867,2,0.24730594,0.30064714,0.4520469,0,0.532466,0.1984797,0.26905432
28830,2025,2025-09-27,Crystal Palace,Liverpool,0,2,0.30524543,0.2472871,0.4474675,2,0.3437043,0.29168996,0.3646057,2,0.2675745,0.23480058,0.497625
28828,2025,2025-09-27,Brentford,Manchester United,0,1,0.31007048,0.4650727,0.22485687,0,0.44088352,0.31231308,0.24680333,1,0.26177454,0.38566583,0.3525597
28831,2025,2025-09-28,Aston Villa,Fulham,0,0,0.62393266,0.219382,0.15668535,0,0.5691513,0.2455368,0.18531194,0,0.4943956,0.21301746,0.2925869
28836,2025,2025-09-28,Newcastle United,Arsenal,2,1,0.19037728,0.52913415,0.28048855,2,0.09849452,0.21842729,0.68307817,2,0.31239232,0.20538218,0.48222545
28837,2025,2025-09-29,Everton,West Ham,1,0,0.47914225,0.26966527,0.25119242,0,0.42857784,0.31053922,0.26088297,0,0.4721117,0.2756397,0.25224856
28838,2025,2025-10-03,Bournemouth,Fulham,0,0,0.620102,0.12847549,0.25142246,0,0.5540549,0.25211582,0.19382925,1,0.30720028,0.40896457,0.28383514
28842,2025,2025-10-04,Chelsea,Liverpool,0,1,0.20624305,0.5280894,0.26566756,1,0.123152,0.51792485,0.3589232,0,0.39688697,0.36481276,0.23830023
28845,2025,2025-10-04,Manchester United,Sunderland,0,2,0.32807332,0.25018355,0.42174312,0,0.51140773,0.14693277,0.34165952,0,0.5650352,0.2033726,0.2315922
28844,2025,2025-10-04,Leeds,Tottenham,2,2,0.27511466,0.3095869,0.41529846,0,0.5725658,0.19172049,0.23571374,0,0.37084728,0.26250523,0.3666475
28839,2025,2025-10-04,Arsenal,West Ham,0,0,0.5857907,0.20274347,0.21146582,0,0.8685958,0.08666563,0.044738572,0,0.6004253,0.21429509,0.1852796
28843,2025,2025-10-05,Everton,Crystal Palace,0,2,0.28297085,0.3183363,0.39869288,0,0.39454913,0.24699777,0.35845307,0,0.48905545,0.2487387,0.26220587
28846,2025,2025-10-05,Newcastle United,Nottingham Forest,0,0,0.6213977,0.14993721,0.22866511,0,0.9116206,0.049995687,0.038383715,0,0.38137603,0.27459103,0.344033
28840,2025,2025-10-05,Aston Villa,Burnley,0,0,0.4751373,0.29108113,0.23378155,0,0.71277547,0.22562568,0.061598893,0,0.52890587,0.19399863,0.27709547
28847,2025,2025-10-05,Wolverhampton Wanderers,Brighton,1,2,0.3283148,0.24983837,0.42184678,2,0.105593085,0.2953674,0.5990395,2,0.2913355,0.32840472,0.38025984
28841,2025,2025-10-05,Brentford,Manchester City,2,1,0.18109149,0.5526501,0.26625842,1,0.16449031,0.50110394,0.33440575,0,0.44674462,0.19883932,0.35441604
28853,2025,2025-10-18,Manchester City,Everton,0,0,0.4180285,0.21832445,0.36364707,0,0.8323058,0.121090576,0.046603646,0,0.5087581,0.25434908,0.23689274
28855,2025,2025-10-18,Sunderland,Wolverhampton Wanderers,0,0,0.4879623,0.23577824,0.2762594,0,0.5503045,0.24066932,0.2090262,0,0.47393072,0.30275798,0.22331128
28851,2025,2025-10-18,Fulham,Arsenal,2,1,0.21551473,0.5837575,0.20072775,2,0.074650474,0.17610596,0.74924356,2,0.20054805,0.17927769,0.6201742
28849,2025,2025-10-18,Burnley,Leeds,0,2,0.12273578,0.15598524,0.72127897,2,0.08145557,0.087106735,0.8314377,2,0.3197171,0.29534537,0.38493752
28848,2025,2025-10-18,Brighton,Newcastle United,0,0,0.37763354,0.28165966,0.3407068,2,0.26672855,0.30838627,0.42488515,0,0.35548708,0.3169912,0.3275217
28854,2025,2025-10-18,Nottingham Forest,Chelsea,2,2,0.1605321,0.14557928,0.69388866,2,0.16038653,0.28870055,0.5509129,0,0.44121885,0.2277381,0.33104306
28850,2025,2025-10-18,Crystal Palace,Bournemouth,1,0,0.55077827,0.20911449,0.24010722,0,0.84531254,0.1131479,0.041539527,1,0.3447255,0.35541344,0.2998611
28856,2025,2025-10-19,Tottenham,Aston Villa,2,0,0.50462234,0.27488744,0.22049017,0,0.8125091,0.120270416,0.067220494,1,0.32733935,0.35905787,0.31360278
28852,2025,2025-10-19,Liverpool,Manchester United,2,0,0.60870636,0.14654037,0.24475324,0,0.40291297,0.36184105,0.23524599,0,0.56910133,0.2538176,0.17708103
28857,2025,2025-10-20,West Ham,Brentford,2,2,0.22860135,0.21515927,0.55623937,2,0.08113971,0.070470616,0.8483897,0,0.56834507,0.24568897,0.18596594
28864,2025,2025-10-24,Leeds,West Ham,0,0,0.60268617,0.20399877,0.19331504,0,0.775692,0.14206146,0.082246535,1,0.24424425,0.49677688,0.2589789
28861,2025,2025-10-25,Brentford,Liverpool,0,1,0.3267584,0.3684345,0.30480707,0,0.44343403,0.25254014,0.30402586,2,0.25299624,0.19520268,0.5518011
