feature,Dataset_Version_1,Dataset_Version_2,Dataset_Version_3,Dataset_Version_5,Dataset_Version_6,Dataset_Version_7
elo_away_pre,0.0250671002036206,0.0250671002036206,0.0250671002036206,0.0250671002036206,0.0244589937134128,0.0250671002036206
elo_expectation_gap,0.0079891255387557,0.0079891255387557,0.0079891255387557,0.0079891255387557,0.0084099065538715,0.0079891255387557
elo_gap_pre,0.0554586188022952,0.0554586188022952,0.0554586188022952,0.0554586188022952,0.0502756633160629,0.0554586188022952
elo_home_expectation,0.0208557155708303,0.0208557155708303,0.0208557155708303,0.0208557155708303,0.0236833593619767,0.0208557155708303
elo_home_pre,0.0595512344771317,0.0595512344771317,0.0595512344771317,0.0595512344771317,0.054705958136455,0.0595512344771317
elo_mean_pre,0.0723875015910365,0.0723875015910365,0.0723875015910365,0.0723875015910365,0.0791099408821565,0.0723875015910365
forecast_away_win,0.1434027627737487,0.1434027627737487,0.1434027627737487,0.1434027627737487,0.1309160542426806,0.1434027627737487
forecast_draw,0.0846568450108396,0.0846568450108396,0.0846568450108396,0.0846568450108396,0.0807244116619216,0.0846568450108396
forecast_home_win,0.0242303236233225,0.0242303236233225,0.0242303236233225,0.0242303236233225,0.0253958116551201,0.0242303236233225
market_entropy,0.0628353003154004,0.0628353003154004,0.0628353003154004,0.0628353003154004,0.0603233666547322,0.0628353003154004
market_home_edge,0.1239715587012353,0.1239715587012353,0.1239715587012353,0.1239715587012353,0.1232480417374786,0.1239715587012353
market_logit_home,0.1094550147241641,0.1094550147241641,0.1094550147241641,0.1094550147241641,0.1320576336631176,0.1094550147241641
market_max_prob,0.0305189705195487,0.0305189705195487,0.0305189705195487,0.0305189705195487,0.0436439451672705,0.0305189705195487
market_vs_elo_edge,0.0113704776555448,0.0113704776555448,0.0113704776555448,0.0113704776555448,0.0138053712716144,0.0113704776555448
match_day_index,0.0327909847255964,0.0327909847255964,0.0327909847255964,0.0327909847255964,0.0353069004734059,0.0327909847255964
match_day_of_year_norm,0.0282025739955427,0.0282025739955427,0.0282025739955427,0.0282025739955427,0.0259271410499376,0.0282025739955427
match_weekday_index,0.0097690989750165,0.0097690989750165,0.0097690989750165,0.0097690989750165,0.0085570946631468,0.0097690989750165
prob_edge,0.0298556988993452,0.0298556988993452,0.0298556988993452,0.0298556988993452,0.0348059457930969,0.0298556988993452
