feature,mean_abs_shap
market_home_edge,0.12745977587299517
forecast_away_win,0.1252940917674465
market_logit_home,0.08706636105072423
forecast_draw,0.06981332268979687
elo_mean_pre,0.0618195652375848
elo_gap_pre,0.053065458992643616
market_entropy,0.050447369941032924
elo_home_pre,0.04884817390526619
market_max_prob,0.04348852106414657
prob_edge,0.03556135978954199
match_day_index,0.030705635239998818
elo_away_pre,0.026511389561619664
forecast_home_win,0.021243133181920806
match_day_of_year_norm,0.01714252436963304
elo_home_expectation,0.015563967261150388
elo_expectation_gap,0.006839085761680165
match_weekday_index,0.006683810604787948
market_vs_elo_edge,0.006259025511828563
