feature,class_label,mean_abs_shap
forecast_home_win,Home Win,0.018767951136804177
forecast_draw,Home Win,0.027165912056811303
forecast_away_win,Home Win,0.11981568497132201
market_home_edge,Home Win,0.257481268111365
market_entropy,Home Win,0.025026645545416976
market_logit_home,Home Win,0.06501240168604219
market_max_prob,Home Win,0.07970976700258126
prob_edge,Home Win,0.08488714143279551
elo_home_pre,Home Win,0.046782294352678576
elo_away_pre,Home Win,0.02281358365685058
elo_mean_pre,Home Win,0.03771823748639628
elo_gap_pre,Home Win,0.07298492658648172
elo_home_expectation,Home Win,0.015535415807971716
elo_expectation_gap,Home Win,0.011646603265171866
market_vs_elo_edge,Home Win,0.004852068995769756
match_day_index,Home Win,0.02283329217561987
match_day_of_year_norm,Home Win,0.031478957308906444
match_weekday_index,Home Win,0.009486562206960904
forecast_home_win,Draw,0.015549639020200514
forecast_draw,Draw,0.1306453367697754
forecast_away_win,Draw,0.027318569726035153
market_home_edge,Draw,0.015691681759561957
market_entropy,Draw,0.09646027023994055
market_logit_home,Draw,0.008026801573469612
market_max_prob,Draw,0.02734053174530077
prob_edge,Draw,0.007145262288829935
elo_home_pre,Draw,0.023277223984268482
elo_away_pre,Draw,0.04371980620373118
elo_mean_pre,Draw,0.11996799474225746
elo_gap_pre,Draw,0.025693828742190554
elo_home_expectation,Draw,0.008238266462157485
elo_expectation_gap,Draw,0.0017611142753623452
market_vs_elo_edge,Draw,0.007197250097268261
match_day_index,Draw,0.04567387998844494
match_day_of_year_norm,Draw,0.007033590077961952
match_weekday_index,Draw,0.005682378629222508
forecast_home_win,Away Win,0.0294118093887577
forecast_draw,Away Win,0.051628719242803836
forecast_away_win,Away Win,0.2287480206049824
market_home_edge,Away Win,0.10920637774805847
market_entropy,Away Win,0.029855194037741364
market_logit_home,Away Win,0.1881598798926609
market_max_prob,Away Win,0.02341526444455764
prob_edge,Away Win,0.014651675647000486
elo_home_pre,Away Win,0.07648500337885149
elo_away_pre,Away Win,0.013000778824277219
elo_mean_pre,Away Win,0.027772463484100687
elo_gap_pre,Away Win,0.060517621649258474
elo_home_expectation,Away Win,0.022918219513321934
elo_expectation_gap,Away Win,0.00710953974450628
market_vs_elo_edge,Away Win,0.006727757442447668
match_day_index,Away Win,0.023609733555931597
match_day_of_year_norm,Away Win,0.01291502572203074
match_weekday_index,Away Win,0.004882490978180427
