match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result,points
22044,2023-12-06 20:15:00,EPL,2023,Manchester United,Chelsea,Home,2,1,4.03949,2.3512,28,13,w,3
22051,2023-12-09 15:00:00,EPL,2023,Manchester United,Bournemouth,Home,0,3,1.11296,1.9742,20,10,l,0
22060,2023-12-17 16:30:00,EPL,2023,Manchester United,Liverpool,Away,0,0,0.632715,1.97111,6,34,d,1
22072,2023-12-23 12:30:00,EPL,2023,Manchester United,West Ham,Away,0,2,0.730496,1.51468,11,12,l,0
22082,2023-12-26 20:00:00,EPL,2023,Manchester United,Aston Villa,Home,3,2,1.20104,1.83637,13,10,w,3
22091,2023-12-30 17:30:00,EPL,2023,Manchester United,Nottingham Forest,Away,1,2,0.651905,0.744348,10,8,l,0
22099,2024-01-14 16:30:00,EPL,2023,Manchester United,Tottenham,Home,2,2,0.923233,1.31224,9,16,d,1
22111,2024-02-01 20:15:00,EPL,2023,Manchester United,Wolverhampton Wanderers,Away,4,3,3.22698,2.27609,21,16,w,3
22122,2024-02-04 14:00:00,EPL,2023,Manchester United,West Ham,Home,3,0,0.96721,1.1807,12,22,w,3
22125,2024-02-11 16:30:00,EPL,2023,Manchester United,Aston Villa,Away,2,1,2.44591,2.64675,17,23,w,3
22139,2024-02-18 16:30:00,EPL,2023,Manchester United,Luton,Away,2,1,3.58973,1.57234,21,22,w,3
22152,2024-02-24 15:00:00,EPL,2023,Manchester United,Fulham,Home,1,2,1.96036,1.1385,21,17,l,0
22160,2024-03-03 15:30:00,EPL,2023,Manchester United,Manchester City,Away,1,3,0.153764,2.64173,2,27,l,0
22172,2024-03-09 12:30:00,EPL,2023,Manchester United,Everton,Home,2,0,2.9016,1.8214,15,23,w,3
22187,2024-03-30 20:00:00,EPL,2023,Manchester United,Brentford,Away,1,1,0.989565,3.16487,11,31,d,1
22201,2024-04-04 19:15:00,EPL,2023,Manchester United,Chelsea,Away,3,4,1.56686,3.48048,19,28,l,0
22211,2024-04-07 14:30:00,EPL,2023,Manchester United,Liverpool,Home,2,2,0.814509,4.43457,9,28,d,1
22215,2024-04-13 16:30:00,EPL,2023,Manchester United,Bournemouth,Away,2,2,1.52274,2.38519,8,20,d,1
22182,2024-04-24 19:00:00,EPL,2023,Manchester United,Sheffield United,Home,4,2,3.51311,1.20517,25,10,w,3
22239,2024-04-27 14:00:00,EPL,2023,Manchester United,Burnley,Home,1,1,3.06197,1.89591,27,16,d,1
22250,2024-05-06 19:00:00,EPL,2023,Manchester United,Crystal Palace,Away,0,4,0.341417,2.0656,7,18,l,0
22259,2024-05-12 15:30:00,EPL,2023,Manchester United,Arsenal,Home,0,1,0.551669,1.73104,14,11,l,0
22231,2024-05-15 19:00:00,EPL,2023,Manchester United,Newcastle United,Home,3,2,1.49706,2.27657,17,21,w,3
22267,2024-05-19 15:00:00,EPL,2023,Manchester United,Brighton,Away,2,0,1.00404,1.9717,11,17,w,3
26602,2024-08-16 19:00:00,EPL,2024,Manchester United,Fulham,Home,1,0,2.04268,0.418711,14,10,w,3
26612,2024-08-24 11:30:00,EPL,2024,Manchester United,Brighton,Away,1,2,1.28556,2.14153,11,14,l,0
26631,2024-09-01 15:00:00,EPL,2024,Manchester United,Liverpool,Home,0,3,1.50087,2.10397,8,11,l,0
26632,2024-09-14 11:30:00,EPL,2024,Manchester United,Southampton,Away,3,0,3.02693,1.35593,20,6,w,3
26649,2024-09-21 16:30:00,EPL,2024,Manchester United,Crystal Palace,Away,0,0,2.35056,1.66928,15,9,d,1
26660,2024-09-29 15:30:00,EPL,2024,Manchester United,Tottenham,Home,0,3,0.600721,5.4072,11,24,l,0
26670,2024-10-06 13:00:00,EPL,2024,Manchester United,Aston Villa,Away,0,0,0.448537,0.532809,10,11,d,1
26675,2024-10-19 14:00:00,EPL,2024,Manchester United,Brentford,Home,2,1,1.76555,0.892843,23,8,w,3
26690,2024-10-27 14:00:00,EPL,2024,Manchester United,West Ham,Away,1,2,2.62598,2.99312,18,12,l,0
26697,2024-11-03 16:30:00,EPL,2024,Manchester United,Chelsea,Home,1,1,2.1605,1.21071,11,12,d,1
26708,2024-11-10 14:00:00,EPL,2024,Manchester United,Leicester,Home,3,0,1.2369,0.417295,13,7,w,3
26718,2024-11-24 16:30:00,EPL,2024,Manchester United,Ipswich,Away,1,1,1.26912,1.98714,11,11,d,1
26727,2024-12-01 13:30:00,EPL,2024,Manchester United,Everton,Home,4,0,1.76161,0.766749,11,8,w,3
26733,2024-12-04 20:15:00,EPL,2024,Manchester United,Arsenal,Away,0,2,0.256083,2.96684,5,14,l,0
