match_id,date,home_team,away_team,home_goals,away_goals,dr_pre,p_home,p_draw,p_away,k_eff,home_elo_post,away_elo_post
18631,2022-09-05 18:45:00,Torino,Lecce,1,0,60.89,0.4149,0.325,-0.1549,0.701,1500.53,1499.04
18639,2022-09-10 13:00:00,Napoli,Spezia,1,0,62.73,0.4184,0.3231,-0.1599,0.71,1502.12,1498.79
18635,2022-09-10 16:00:00,Inter,Torino,1,0,60.13,0.4135,0.3258,-0.1529,0.711,1500.95,1500.23
18640,2022-09-10 18:45:00,Sampdoria,AC Milan,1,2,56.93,0.4076,0.3291,-0.1443,0.712,1497.87,1501.75
18632,2022-09-11 10:30:00,Atalanta,Cremonese,1,1,63.52,0.4198,0.3223,-0.162,1.056,1501.93,1498.59
18633,2022-09-11 13:00:00,Bologna,Fiorentina,2,1,59.28,0.4119,0.3267,-0.1506,0.713,1499.49,1499.61
18638,2022-09-11 13:00:00,Lecce,Monza,1,1,61.69,0.4164,0.3242,-0.1571,1.056,1498.96,1497.44
18641,2022-09-11 13:00:00,Sassuolo,Udinese,1,3,58.94,0.4113,0.327,-0.1497,1.13,1499.15,1501.51
18637,2022-09-11 16:00:00,Lazio,Verona,2,0,61.19,0.4155,0.3247,-0.1557,1.129,1500.96,1498.82
18636,2022-09-11 18:45:00,Juventus,Salernitana,2,2,60.73,0.4146,0.3252,-0.1545,1.056,1501.02,1500.45
18634,2022-09-12 18:45:00,Empoli,Roma,1,2,59.09,0.4116,0.3269,-0.1501,0.715,1499.31,1501.04
18648,2022-09-16 18:45:00,Salernitana,Lecce,1,2,61.49,0.416,0.3244,-0.1565,0.722,1500.03,1499.38
18642,2022-09-17 13:00:00,Bologna,Empoli,0,1,60.18,0.4136,0.3258,-0.153,0.724,1499.07,1499.73
18649,2022-09-17 16:00:00,Spezia,Sampdoria,2,1,60.92,0.415,0.325,-0.155,0.724,1499.1,1497.57
18650,2022-09-17 18:45:00,Torino,Sassuolo,0,1,61.07,0.4153,0.3248,-0.1554,0.724,1499.81,1499.57
18651,2022-09-18 10:30:00,Udinese,Inter,3,1,60.55,0.4143,0.3254,-0.154,1.151,1502.0,1500.47
18643,2022-09-18 13:00:00,Cremonese,Lazio,0,4,57.62,0.4089,0.3284,-0.1461,1.688,1497.62,1501.93
18644,2022-09-18 13:00:00,Fiorentina,Verona,2,0,60.79,0.4147,0.3251,-0.1546,1.151,1500.09,1498.33
18646,2022-09-18 13:00:00,Monza,Juventus,1,0,56.42,0.4066,0.3296,-0.1429,0.727,1497.75,1500.71
18647,2022-09-18 16:00:00,Roma,Atalanta,0,1,59.11,0.4116,0.3269,-0.1501,0.727,1500.62,1502.35
18645,2022-09-18 18:45:00,AC Milan,Napoli,1,2,59.64,0.4126,0.3263,-0.1515,0.726,1501.34,1502.53
18659,2022-10-01 13:00:00,Napoli,Torino,3,1,62.73,0.4184,0.3231,-0.1599,1.192,1503.03,1499.31
18655,2022-10-01 16:00:00,Inter,Roma,1,2,59.84,0.413,0.3261,-0.1521,0.753,1500.03,1501.06
