id,isResult,h,a,goals,xG,datetime,forecast
19648,True,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '274', 'title': 'Ajaccio', 'short_title': 'AJA'}","{'h': '2', 'a': '1'}","{'h': '1.85675', 'a': '1.13852'}",2022-08-05 19:00:00,"{'w': '0.571', 'd': '0.2853', 'l': '0.1437'}"
19649,True,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '1', 'a': '2'}","{'h': '1.39118', 'a': '2.47965'}",2022-08-06 15:00:00,"{'w': '0.1533', 'd': '0.2071', 'l': '0.6396'}"
19650,True,"{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '0', 'a': '5'}","{'h': '0.194932', 'a': '4.11887'}",2022-08-06 19:00:00,"{'w': '0.0014', 'd': '0.0124', 'l': '0.9862'}"
19651,True,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '1', 'a': '1'}","{'h': '1.85439', 'a': '0.69938'}",2022-08-07 11:00:00,"{'w': '0.7435', 'd': '0.188', 'l': '0.0685'}"
19652,True,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '275', 'title': 'Auxerre', 'short_title': 'AUX'}","{'h': '4', 'a': '1'}","{'h': '1.29993', 'a': '0.769926'}",2022-08-07 13:00:00,"{'w': '0.4934', 'd': '0.3017', 'l': '0.2049'}"
19653,True,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'h': '3', 'a': '2'}","{'h': '1.57764', 'a': '1.84274'}",2022-08-07 13:00:00,"{'w': '0.2884', 'd': '0.2785', 'l': '0.4331'}"
19654,True,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '0', 'a': '0'}","{'h': '1.91609', 'a': '1.14718'}",2022-08-07 13:00:00,"{'w': '0.5728', 'd': '0.2305', 'l': '0.1967'}"
19655,True,"{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '3', 'a': '2'}","{'h': '3.31681', 'a': '1.04228'}",2022-08-07 13:00:00,"{'w': '0.8848', 'd': '0.0874', 'l': '0.0278'}"
19656,True,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '0', 'a': '1'}","{'h': '1.40484', 'a': '0.70567'}",2022-08-07 15:05:00,"{'w': '0.5422', 'd': '0.2881', 'l': '0.1697'}"
19657,True,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '4', 'a': '1'}","{'h': '2.77019', 'a': '0.676094'}",2022-08-07 18:45:00,"{'w': '0.8851', 'd': '0.088', 'l': '0.0269'}"
19658,True,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '1', 'a': '1'}","{'h': '2.07994', 'a': '2.53444'}",2022-08-12 19:00:00,"{'w': '0.2781', 'd': '0.2515', 'l': '0.4704'}"
19659,True,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '1', 'a': '1'}","{'h': '2.39524', 'a': '2.02488'}",2022-08-13 15:00:00,"{'w': '0.4781', 'd': '0.2434', 'l': '0.2785'}"
19660,True,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '5', 'a': '2'}","{'h': '3.3388', 'a': '0.778496'}",2022-08-13 19:00:00,"{'w': '0.9253', 'd': '0.062', 'l': '0.0127'}"
19662,True,"{'id': '274', 'title': 'Ajaccio', 'short_title': 'AJA'}","{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'h': '0', 'a': '0'}","{'h': '0.707316', 'a': '1.02754'}",2022-08-14 13:00:00,"{'w': '0.2383', 'd': '0.338', 'l': '0.4237'}"
19663,True,"{'id': '275', 'title': 'Auxerre', 'short_title': 'AUX'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '2', 'a': '2'}","{'h': '0.898665', 'a': '1.65524'}",2022-08-14 13:00:00,"{'w': '0.1687', 'd': '0.2653', 'l': '0.566'}"
19664,True,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'h': '2', 'a': '4'}","{'h': '2.65438', 'a': '1.56704'}",2022-08-14 13:00:00,"{'w': '0.6771', 'd': '0.2106', 'l': '0.1123'}"
19665,True,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '0', 'a': '3'}","{'h': '0.925402', 'a': '2.07677'}",2022-08-14 13:00:00,"{'w': '0.0932', 'd': '0.2044', 'l': '0.7024'}"
19666,True,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '1', 'a': '1'}","{'h': '1.51022', 'a': '1.57207'}",2022-08-14 15:05:00,"{'w': '0.3422', 'd': '0.2982', 'l': '0.3596'}"
19667,True,"{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '1', 'a': '1'}","{'h': '1.64132', 'a': '1.30958'}",2022-08-14 18:45:00,"{'w': '0.4471', 'd': '0.2888', 'l': '0.2641'}"
19673,True,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'h': '4', 'a': '1'}","{'h': '3.54595', 'a': '0.948279'}",2022-08-19 19:00:00,"{'w': '0.9412', 'd': '0.0497', 'l': '0.0091'}"
19668,True,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'h': '1', 'a': '4'}","{'h': '2.27892', 'a': '2.45812'}",2022-08-20 15:00:00,"{'w': '0.3292', 'd': '0.2585', 'l': '0.4123'}"
19674,True,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '2', 'a': '1'}","{'h': '1.71654', 'a': '2.35832'}",2022-08-20 19:00:00,"{'w': '0.223', 'd': '0.236', 'l': '0.541'}"
19675,True,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '1', 'a': '1'}","{'h': '1.44615', 'a': '2.03506'}",2022-08-21 11:00:00,"{'w': '0.2017', 'd': '0.2755', 'l': '0.5228'}"
19669,True,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '1', 'a': '3'}","{'h': '1.05295', 'a': '2.2269'}",2022-08-21 13:00:00,"{'w': '0.1106', 'd': '0.204', 'l': '0.6854'}"
19670,True,"{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '1', 'a': '0'}","{'h': '0.712338', 'a': '1.63135'}",2022-08-21 13:00:00,"{'w': '0.0719', 'd': '0.2669', 'l': '0.6612'}"
19672,True,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '275', 'title': 'Auxerre', 'short_title': 'AUX'}","{'h': '1', 'a': '2'}","{'h': '0.602982', 'a': '1.29185'}",2022-08-21 13:00:00,"{'w': '0.1311', 'd': '0.2699', 'l': '0.599'}"
19677,True,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '2', 'a': '2'}","{'h': '2.48022', 'a': '2.96569'}",2022-08-21 13:00:00,"{'w': '0.2387', 'd': '0.2579', 'l': '0.5034'}"
19676,True,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '274', 'title': 'Ajaccio', 'short_title': 'AJA'}","{'h': '2', 'a': '1'}","{'h': '0.979786', 'a': '1.44269'}",2022-08-21 15:05:00,"{'w': '0.2039', 'd': '0.276', 'l': '0.5201'}"
19671,True,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '7'}","{'h': '1.50337', 'a': '4.37042'}",2022-08-21 18:45:00,"{'w': '0.029', 'd': '0.0663', 'l': '0.9047'}"
19678,True,"{'id': '274', 'title': 'Ajaccio', 'short_title': 'AJA'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '1', 'a': '3'}","{'h': '0.513092', 'a': '1.80552'}",2022-08-26 19:00:00,"{'w': '0.0604', 'd': '0.1715', 'l': '0.7681'}"
19679,True,"{'id': '275', 'title': 'Auxerre', 'short_title': 'AUX'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '1', 'a': '0'}","{'h': '0.770114', 'a': '1.65529'}",2022-08-27 15:00:00,"{'w': '0.1224', 'd': '0.2694', 'l': '0.6082'}"
19684,True,"{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '2', 'a': '1'}","{'h': '1.15835', 'a': '0.88822'}",2022-08-27 19:00:00,"{'w': '0.4251', 'd': '0.309', 'l': '0.2659'}"
19681,True,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '3', 'a': '1'}","{'h': '1.80364', 'a': '0.531418'}",2022-08-28 11:00:00,"{'w': '0.718', 'd': '0.1996', 'l': '0.0824'}"
19680,True,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'h': '2', 'a': '1'}","{'h': '3.46625', 'a': '0.432527'}",2022-08-28 13:00:00,"{'w': '0.9674', 'd': '0.0271', 'l': '0.0055'}"
19682,True,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '0', 'a': '3'}","{'h': '0.797222', 'a': '1.41427'}",2022-08-28 13:00:00,"{'w': '0.1803', 'd': '0.269', 'l': '0.5507'}"
19685,True,"{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '0', 'a': '7'}","{'h': '0.163077', 'a': '2.2067'}",2022-08-28 13:00:00,"{'w': '0.0108', 'd': '0.0817', 'l': '0.9075'}"
19687,True,"{'id': '172', 'title': 'Troyes', 'short_title': 'TRO'}","{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'h': '3', 'a': '1'}","{'h': '2.23192', 'a': '1.00107'}",2022-08-28 13:00:00,"{'w': '0.6749', 'd': '0.2117', 'l': '0.1134'}"
19686,True,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '1'}","{'h': '0.889087', 'a': '1.37054'}",2022-08-28 15:05:00,"{'w': '0.2086', 'd': '0.3044', 'l': '0.487'}"
