feature,mean_abs_shap
forecast_away_win,0.14340276277374878
market_home_edge,0.12397155870123533
market_logit_home,0.10945501472416413
forecast_draw,0.08465684501083963
elo_mean_pre,0.07238750159103653
market_entropy,0.06283530031540042
elo_home_pre,0.059551234477131725
elo_gap_pre,0.05545861880229528
match_day_index,0.032790984725596425
market_max_prob,0.030518970519548733
prob_edge,0.02985569889934526
match_day_of_year_norm,0.028202573995542792
elo_away_pre,0.025067100203620626
forecast_home_win,0.024230323623322562
elo_home_expectation,0.020855715570830366
market_vs_elo_edge,0.011370477655544851
match_weekday_index,0.009769098975016578
elo_expectation_gap,0.007989125538755778
