Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Marseille,8,6,0,2,21,7,18,19.8,16.76,8.24,8.24,8.53,10.53,22.54,75,26,17.68
Paris Saint Germain,8,5,2,1,16,8,17,14.6,11.56,8.93,8.17,3.39,7.43,21.99,76,38,15.19
Strasbourg,8,5,1,2,17,10,16,15.52,14.0,10.55,9.79,4.21,12.56,12.39,54,36,13.95
Lens,8,5,1,2,12,7,16,16.6,14.32,11.01,11.01,3.31,13.01,9.44,59,51,13.68
Lyon,8,5,0,3,11,8,15,16.03,15.27,10.34,10.34,4.93,8.81,13.05,62,36,14.75
Lille,8,4,2,2,16,10,14,17.34,15.82,12.28,11.36,4.45,8.44,12.93,89,30,14.5
Monaco,8,4,2,2,17,13,14,15.88,13.6,12.23,9.19,4.41,8.01,15.14,66,58,13.73
Toulouse,8,4,1,3,15,12,13,12.97,9.93,10.88,8.6,1.33,14.18,9.47,42,57,12.31
Rennes,8,2,5,1,11,12,11,11.5,10.74,16.67,14.39,-3.65,10.35,11.66,40,52,8.3
Nice,8,3,2,3,12,14,11,12.61,11.85,14.27,11.23,0.62,12.54,10.97,55,56,9.83
Paris FC,8,3,1,4,13,15,10,12.83,11.31,15.06,12.02,-0.71,15.27,17.04,44,42,9.59
Brest,8,2,3,3,14,14,9,12.24,9.96,14.28,13.52,-3.56,10.73,11.86,43,61,10.78
Lorient,8,2,2,4,12,19,8,12.45,11.53,14.63,10.83,0.7,17.67,8.65,38,50,9.41
Auxerre,8,2,1,5,7,12,7,10.31,8.79,12.59,11.83,-3.04,11.92,7.58,28,50,9.53
Nantes,8,1,3,4,5,9,6,7.49,6.73,14.26,12.74,-6.01,14.16,9.62,25,65,5.96
Le Havre,8,1,3,4,10,16,6,9.71,8.19,12.41,10.13,-1.94,12.35,11.23,25,46,10.54
Angers,8,1,3,4,4,12,6,7.62,6.86,15.78,13.5,-6.63,22.42,9.05,28,48,6.55
Metz,8,0,2,6,5,20,2,6.66,5.14,17.77,15.49,-10.35,17.61,13.02,21,68,4.29
