id,isResult,h,a,goals,xG,datetime,forecast
23097,True,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '1', 'a': '3'}","{'h': '1.19432', 'a': '1.06988'}",2023-09-16 13:30:00,"{'w': '0.3831', 'd': '0.2854', 'l': '0.3315'}"
23098,True,"{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '1'}","{'h': '2.17324', 'a': '0.737999'}",2023-09-16 16:30:00,"{'w': '0.7627', 'd': '0.1642', 'l': '0.0731'}"
23099,True,"{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '4', 'a': '2'}","{'h': '1.96235', 'a': '2.55978'}",2023-09-17 13:30:00,"{'w': '0.2252', 'd': '0.2358', 'l': '0.539'}"
23100,True,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '3', 'a': '3'}","{'h': '1.328', 'a': '3.49324'}",2023-09-17 15:30:00,"{'w': '0.0701', 'd': '0.1047', 'l': '0.8252'}"
23101,True,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '3', 'a': '1'}","{'h': '3.04946', 'a': '0.272376'}",2023-09-22 18:30:00,"{'w': '0.9444', 'd': '0.0484', 'l': '0.0072'}"
23102,True,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '2', 'a': '1'}","{'h': '1.04683', 'a': '0.487325'}",2023-09-23 13:30:00,"{'w': '0.5381', 'd': '0.3208', 'l': '0.1411'}"
23103,True,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '0', 'a': '1'}","{'h': '0.771966', 'a': '1.03744'}",2023-09-23 13:30:00,"{'w': '0.2392', 'd': '0.3332', 'l': '0.4276'}"
23104,True,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'h': '7', 'a': '0'}","{'h': '6.02607', 'a': '0.0892044'}",2023-09-23 13:30:00,"{'w': '0.9996', 'd': '0.0004', 'l': '0'}"
23105,True,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '1', 'a': '0'}","{'h': '2.16482', 'a': '0.343309'}",2023-09-23 13:30:00,"{'w': '0.8369', 'd': '0.1286', 'l': '0.0345'}"
23106,True,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '0', 'a': '2'}","{'h': '1.62442', 'a': '2.15364'}",2023-09-23 13:30:00,"{'w': '0.2427', 'd': '0.235', 'l': '0.5223'}"
