Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Real Madrid,11,10,0,1,26,10,30,27.57,23.0,12.6,11.11,11.88,8.9,15.22,110,48,24.64
Barcelona,11,8,1,2,28,13,25,27.2,25.71,16.39,14.16,11.56,7.03,16.2,147,41,21.75
Atletico Madrid,12,7,4,1,24,11,25,25.13,22.9,12.69,11.95,10.95,11.22,15.48,127,51,23.97
Villarreal,11,7,2,2,22,10,23,22.33,21.59,14.68,12.45,9.13,15.12,11.29,98,72,20.68
Real Betis,11,5,4,2,18,12,19,17.58,17.58,11.32,10.58,7.0,12.9,13.32,88,61,19.05
Espanyol,11,5,3,3,15,13,18,21.84,19.61,16.23,15.49,4.12,13.68,9.83,67,71,18.14
Getafe,11,5,2,4,12,13,17,9.96,9.96,13.69,12.94,-2.98,10.04,5.83,26,47,13.44
Sevilla,12,5,1,6,18,19,16,12.01,10.52,22.04,18.32,-7.8,8.34,9.79,59,78,9.45
Alaves,12,4,3,5,11,11,15,16.31,14.08,12.06,12.06,2.02,8.8,9.45,44,58,19.22
Elche,12,3,6,3,13,14,15,14.14,13.39,16.77,15.28,-1.89,9.35,11.34,57,72,14.53
Rayo Vallecano,11,4,2,5,12,14,14,17.27,16.53,18.89,17.4,-0.87,9.48,14.03,52,69,14.5
Athletic Club,11,4,2,5,11,13,14,13.89,11.66,10.82,10.82,0.85,9.38,11.4,65,39,17.15
Celta Vigo,11,2,7,2,13,14,13,13.8,13.06,17.01,13.93,-0.87,12.41,14.56,95,72,13.76
Real Sociedad,12,3,4,5,14,17,13,18.81,16.58,16.23,15.49,1.09,9.42,12.38,76,80,19.03
Osasuna,12,3,2,7,9,13,11,13.23,11.0,16.75,15.27,-4.27,13.16,11.14,55,79,13.63
Girona,12,2,4,6,11,24,10,14.62,12.39,27.41,25.18,-12.79,15.16,10.05,57,80,10.09
Levante,12,2,3,7,16,23,9,20.35,18.76,23.61,22.86,-4.11,14.4,9.02,66,125,13.81
Mallorca,11,2,3,6,11,18,9,10.78,10.04,21.11,18.88,-8.85,13.32,9.81,38,86,8.37
Valencia,11,2,3,6,10,20,9,12.06,11.32,18.77,16.42,-5.1,14.26,10.28,40,88,12.62
Real Oviedo,11,2,2,7,7,19,8,10.81,9.33,20.62,18.39,-9.07,15.46,9.58,51,101,8.65
