id,isResult,h,a,goals,xG,datetime,forecast
19342,True,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '6'}","{'h': '0.756176', 'a': '4.56023'}",2022-08-05 18:30:00,"{'w': '0.0045', 'd': '0.0183', 'l': '0.9772'}"
19343,True,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '3', 'a': '1'}","{'h': '1.18263', 'a': '0.350984'}",2022-08-06 13:30:00,"{'w': '0.5999', 'd': '0.2969', 'l': '0.1032'}"
19344,True,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '3', 'a': '1'}","{'h': '2.07456', 'a': '0.119138'}",2022-08-06 13:30:00,"{'w': '0.8794', 'd': '0.1091', 'l': '0.0115'}"
19345,True,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '2', 'a': '2'}","{'h': '0.954909', 'a': '1.04228'}",2022-08-06 13:30:00,"{'w': '0.2881', 'd': '0.3422', 'l': '0.3697'}"
19346,True,"{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '1', 'a': '2'}","{'h': '0.818183', 'a': '1.59439'}",2022-08-06 13:30:00,"{'w': '0.1666', 'd': '0.2539', 'l': '0.5795'}"
19347,True,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '0', 'a': '4'}","{'h': '0.585905', 'a': '1.54255'}",2022-08-06 13:30:00,"{'w': '0.1259', 'd': '0.2466', 'l': '0.6275'}"
19348,True,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '1', 'a': '0'}","{'h': '2.38349', 'a': '1.23566'}",2022-08-06 16:30:00,"{'w': '0.6828', 'd': '0.2169', 'l': '0.1003'}"
19349,True,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '1', 'a': '1'}","{'h': '0.565488', 'a': '2.13153'}",2022-08-07 13:30:00,"{'w': '0.0604', 'd': '0.1571', 'l': '0.7825'}"
19350,True,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '3', 'a': '1'}","{'h': '4.42242', 'a': '0.227735'}",2022-08-07 15:30:00,"{'w': '0.9937', 'd': '0.0056', 'l': '0.0007'}"
19351,True,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '1', 'a': '3'}","{'h': '1.0831', 'a': '0.781529'}",2022-08-12 18:30:00,"{'w': '0.4261', 'd': '0.3243', 'l': '0.2496'}"
19352,True,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '1', 'a': '2'}","{'h': '2.7843', 'a': '0.749163'}",2022-08-13 13:30:00,"{'w': '0.8356', 'd': '0.123', 'l': '0.0414'}"
19353,True,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '2', 'a': '2'}","{'h': '1.17885', 'a': '1.51583'}",2022-08-13 13:30:00,"{'w': '0.261', 'd': '0.2954', 'l': '0.4436'}"
